DSCR,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
2.02,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.93530209231662,157.23237669036718,-0.284
2.03,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.42906762496222,157.23237669036718,-0.284
2.04,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.84649049379436,157.23237669036718,-0.284
2.05,0.9998410912355191,0.9966384850493438,0.36398828981494047,257.0611445500734,157.23237669036718,-0.284
2.06,0.9998410912355191,0.9966384850493438,0.36398828981494047,258.18523995385715,157.23237669036718,-0.284
2.07,0.9998410912355191,0.9966384850493438,0.36398828981494047,259.25005829389033,157.23237669036718,-0.284
2.08,0.9998410912355191,0.9966384850493438,0.36398828981494047,260.27092340658885,157.23237669036718,-0.284
2.09,0.9998410912355191,0.9966384850493438,0.36398828981494047,261.2575555459733,157.23237669036718,-0.284
2.1,0.9998410912355191,0.9966384850493438,0.36398828981494047,262.2167921066314,157.23237669036718,-0.284
2.11,0.9998410912355191,0.9966384850493438,0.36398828981494047,263.15367393844673,157.23237669036718,-0.284
2.12,0.9998410912355191,0.9966384850493438,0.36398828981494047,264.07202679299627,157.23237669036718,-0.284
2.13,0.9998410912355191,0.9966384850493438,0.36398828981494047,264.97481815970144,157.23237669036718,-0.284
2.14,0.9998410912355191,0.9966384850493438,0.36398828981494047,265.8643911959718,157.23237669036718,-0.284
2.15,0.9998410912355191,0.9966384850493438,0.36398828981494047,266.7426242401468,157.23237669036718,-0.284
2.16,0.9998410912355191,0.9966384850493438,0.36398828981494047,267.61104275930995,157.23237669036718,-0.284
2.17,0.9998410912355191,0.9966384850493438,0.36398828981494047,268.47089979301916,157.23237669036718,-0.284
2.18,0.9998410912355191,0.9966384850493438,0.36398828981494047,269.3232349560798,157.23237669036718,-0.284
2.19,0.9998410912355191,0.9966384850493438,0.36398828981494047,270.1689185177337,157.23237669036718,-0.284
2.2,0.9998410912355191,0.9966384850493438,0.36398828981494047,271.0086848824006,157.23237669036718,-0.284
2.21,0.9998410912355191,0.9966384850493438,0.36398828981494047,271.84315839496895,157.23237669036718,-0.284
2.22,0.9998410912355191,0.9966384850493438,0.36398828981494047,272.6728734775089,157.23237669036718,-0.284
2.23,0.9998374653622694,0.9965775255758815,0.36396916478030517,272.93330371477464,157.23058308805926,-0.284
2.24,0.9997862400783428,0.9957163078044569,0.36369901805570354,272.9864310762638,157.2052987905686,-0.284
2.25,0.999735462333571,0.9948626140220658,0.3634313210904099,273.03694363054433,157.18034231195028,-0.284
2.26,0.9996851254465637,0.9940163317292556,0.3631660396888477,273.0850199517284,157.15571712126922,-0.284
2.27,0.9996352228258724,0.9931773499555099,0.3629031357414039,273.1308218369487,157.13142955220658,-0.284
2.28,0.9995857479649507,0.9923455591765373,0.3626425664675315,273.1744962660382,157.1074893554521,-0.284
2.29,0.9995366944368561,0.9915208512264604,0.3623849181749044,273.21617707344035,157.08224397933577,-0.284
2.3,0.9994880558886418,0.9907031192040411,0.3621297611304848,273.2559863804974,157.05707151673008,-0.284
2.31,0.9994398260353733,0.9898922573719688,0.36187699887759356,273.29403582513834,157.032178606722,-0.284
2.32,0.9993919986536995,0.9890881610480613,0.3616266059826347,273.33042762749363,157.00755561570423,-0.284
2.33,0.999344567574885,0.9882907264869641,0.3613785535284586,273.3652555136514,156.98319513363967,-0.284
2.34,0.9992975266771927,0.9874998507506091,0.36113280985372836,273.398605537059,156.95909139809444,-0.284
2.35,0.9992508950772938,0.9867167167555624,0.3608894040952464,273.4305567856079,156.9351952413715,-0.284
2.36,0.9992052263802504,0.9859697653402155,0.36064969464571744,273.46118202285896,156.91054443640527,-0.284
2.37,0.9991599414279607,0.9852296657934821,0.36041220315797573,273.4905482636436,156.8861844113984,-0.284
2.38,0.9991194340996753,0.9847148776172494,0.36016561041546596,273.5187172715197,156.8659033626854,-0.284
2.39,0.9990977030386037,0.9839773451297283,0.35987555960475676,273.4522427722012,156.86145231037042,-0.284
2.4,0.9991155230371171,0.9832542457449962,0.3595392482577209,273.3809305285817,156.873599934048,-0.284
2.41,0.9991737689323693,0.9832870862601818,0.35917422951793454,273.30908282704866,156.89658301973566,-0.284
2.42,0.9992624889973419,0.9839009754221766,0.35878859700694526,273.23943265107226,156.92766325787144,-0.284
2.43,0.9993887541922385,0.9852532958508361,0.35837805436247033,273.175641912058,156.96834995569228,-0.284
2.44,0.9995423034525842,0.9871459360008706,0.35795038994201617,273.1224125544445,157.0159946451699,-0.284
2.45,0.9997017635749174,0.9893921615173628,0.35751367606890155,273.08553499645757,157.0681865894751,-0.284
2.46,0.9998235534489357,0.9922175720380366,0.35733354270974155,273.0718323230029,157.02975784570634,-0.284
2.47,0.9999061450164848,0.9952133958407209,0.3570279027991056,273.08895742211666,157.03755980238273,-0.284
2.48,0.9999742523024376,0.9986868674243188,0.3565824177242289,273.1450122984568,157.09623570942102,-0.284
2.49,1.0,1.0,0.3561346332922244,273.2479888343249,157.1571724369252,-0.284
2.5,1.0,1.0,0.3556757143429272,273.4050728644921,157.2226617849838,-0.284
