Conserv_Sens,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.83,0.9998410957934283,0.996638717502713,0.363980460730395,253.74273290570116,157.23237061688593,-0.284
0.84,0.9998410958502589,0.9966387204010673,0.3639804609277631,253.83163999189546,157.23237063360156,-0.284
0.85,0.9998410959047593,0.9966387231805934,0.3639804611123878,253.926541846815,157.23237066037905,-0.284
0.86,0.9998410959571362,0.996638725851812,0.363980461284732,254.02813294388764,157.2323706972289,-0.284
0.87,0.9998410960075953,0.996638728425233,0.3639804614452829,254.13716389351237,157.2323707441354,-0.284
0.88,0.9998410960563429,0.996638730911355,0.36398046159456765,254.2544388973893,157.23237080103573,-0.284
0.89,0.9998410961035842,0.9966387333206662,0.3639804617331786,254.38081185716936,157.23237086779406,-0.284
0.9,0.999841096149525,0.996638735663646,0.36398046186179916,254.51718201734332,157.2323709441736,-0.284
0.91,0.9998410961943706,0.9966387379507636,0.3639804619812426,254.6644907566553,157.23237102981057,-0.284
0.92,0.9998410962383258,0.996638740192482,0.36398046209249085,254.8237220947836,157.23237112420205,-0.284
0.93,0.9998410962815958,0.9966387423992537,0.3639804621967373,254.99591054079661,157.23237122672603,-0.284
0.94,0.9998410963243853,0.9966387445815251,0.36398046229541764,255.18216067922756,157.23237133672282,-0.284
0.95,0.9998410963668993,0.9966387467497345,0.36398046239021803,255.38368244256026,157.2323714536714,-0.284
