IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
22.280745367979403,0.9998412539245911,0.9966409832253807,0.3639880783269109,251.96882274021337,157.2324439379653,-0.284
24.179500296271495,0.999842250251842,0.9966562946087415,0.3639867079455377,252.27031844028397,157.23296981195935,-0.284
26.240066250997867,0.9998431479311767,0.9966701311389805,0.3639853210577339,252.59437101911792,157.2336578545423,-0.284
28.476232693813404,0.9998439400014922,0.9966824038738114,0.3639839074696922,252.9356966652812,157.23451120473123,-0.284
30.902964217987456,0.9998446234355503,0.9966930756658704,0.3639833308063549,253.28791884472184,157.23553250026146,-0.284
33.53650069258248,0.9998451993605658,0.9967021675855843,0.3639835770716901,253.64413671715042,157.23672408674483,-0.284
36.394465940873765,0.999845672896701,0.996709759810216,0.3639835973852097,253.99744213498266,157.2380883477426,-0.284
39.495985680294396,0.9998460526188194,0.9967159860982718,0.3639834173353636,254.23212373925475,157.23904775361567,-0.284
42.86181551316834,0.9998463497106523,0.996721022269809,0.3639832142728543,254.29102253742124,157.23913529831947,-0.284
46.5144798247553,0.9998465769318616,0.9967250704084395,0.36398298530499784,254.36564322443866,157.23929096371282,-0.284
50.47842251812341,0.9998467475444079,0.996728341379885,0.36398274015350723,254.45131268275563,157.23950192807212,-0.284
54.780170594578784,0.999846874339819,0.9967310384641447,0.3639824869824599,254.54322203793035,157.23975690086104,-0.284
59.44851167434448,0.9998469688769177,0.9967333444083936,0.36398223271932223,254.6369207644599,157.24004561316573,-0.284
64.51468664547063,0.9998470409906466,0.9967354132368549,0.36398198344258753,254.72865336015627,157.24035829628673,-0.284
70.01259873019619,0.9998470985798659,0.9967373670324721,0.3639817448310631,254.8155243181398,157.24068518624335,-0.284
75.97904036785103,0.9998471476372077,0.99673929694976,0.3639815225925431,254.89551405032918,157.24101615037537,-0.284
82.45393943261438,0.9998471924549232,0.996741267132708,0.3639813227451942,254.96739141074875,157.24134056135173,-0.284
89.48062643383894,0.9998472359298762,0.9967433200512497,0.3639811516281603,255.0305747656597,157.24164752329764,-0.284
97.1061244870633,0.9998472798965244,0.9967454819625786,0.3639810155762222,255.08498522900564,157.24192647578002,-0.284
105.38146399622259,0.9998473254338504,0.9967477676048785,0.36398092029639045,255.13091850818049,157.24216808152744,-0.284
114.36202415293195,0.9998473731143065,0.9967501836840931,0.3639808700973343,255.1689433962006,157.2423651885728,-0.284
124.10790353818399,0.999847423183854,0.9967527310972313,0.3639808671947063,255.19982192092894,157.2425136030694,-0.284
134.68432230655196,0.9998474756779129,0.9967554060847027,0.3639809113052052,255.2244415238512,157.2426124506012,-0.284
146.16205864434843,0.9998475304868261,0.9967582006142119,0.3639809996464813,255.24375205855478,157.24266403041514,-0.284
158.61792242254668,0.9998475873869435,0.9967611023051464,0.36398112732209026,255.2587058824608,157.2426732233022,-0.284
172.13526921418944,0.9998476460517934,0.9967640941553334,0.36398128795577683,255.27020393956735,157.24264663172133,-0.284
186.80455811612384,0.9998477060543829,0.9967671542739023,0.3639814743938141,255.27905250493072,157.24259166872116,-0.284
202.723957108052,0.9998477668682356,0.9967702557775991,0.36398167932157066,255.28593430542023,157.2425157735215,-0.284
220.0,0.9998478278721514,0.9967733669767964,0.3639818957098229,255.29139531852462,157.24242585172678,-0.284
22.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
