Choice_r,IF_sens_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.31
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.3
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.29
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.28
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.27
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.26
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.25
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.24
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.23
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.22
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.21
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.2
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.19
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.18
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.17
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.16
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.15
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.14
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.13
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.12
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.11
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.1
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.09
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.08
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.07
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.06
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.05
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.04
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.03
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.02
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.01
0.02,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,0.0
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-1.0
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.99
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.98
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.97
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.96
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.95
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.94
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.93
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.92
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.91
