Goal_l,IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.01,0.0,0.9976154804646471,0.9626140383361641,0.35937895441772577,248.55207136921902,159.33333425274847,-0.34
1.01,0.0,0.9980235992617189,0.9683184583701215,0.3591852414138102,248.6606991047274,159.3949565090167,-0.33
1.01,0.0,0.9982920590444702,0.9740215123120016,0.35906163955752257,248.74722182596634,159.4179077315587,-0.32
1.01,0.0,0.9984729921507637,0.9797236787708877,0.3589850800257677,248.8157042076122,159.41767534272688,-0.31
1.01,0.0,0.9986479456108499,0.9854255184648039,0.3589157723570228,248.86856375010356,159.4177649346593,-0.3
1.01,0.0,0.9988230719811138,0.9911276857293175,0.3588522312075029,248.90664552695216,159.41819783192722,-0.29
1.01,0.0,0.9994978126249293,0.9947228194220477,0.35855788565301266,248.9309774386711,159.553288709306,-0.28
1.01,0.0,0.9999666415842816,0.9987664082762412,0.3582096322577914,248.94431871090708,159.71785928527126,-0.27
1.01,0.0,1.0,1.0,0.357856187814789,248.95117228143553,159.88325654642432,-0.26
1.01,0.0,1.0,1.0,0.357495941581681,248.95123840827608,160.05024165881628,-0.25
1.01,0.0,1.0,1.0,0.3571269076438454,248.95123577725855,160.21392399725883,-0.24
1.01,0.0,1.0,1.0,0.35674859597158237,248.95123080843845,160.37874990643277,-0.23
1.01,0.0,1.0,1.0,0.35635007528586843,248.95122283522898,160.54270129729994,-0.22
1.01,0.0,1.0,1.0,0.35609592231740456,248.95121032269932,160.6338057707832,-0.21
1.01,0.0,1.0,1.0,0.3560397644290787,248.95120383636396,160.63380577078317,-0.2
1.01,0.0,1.0,1.0,0.35599109931033146,248.95120177665953,160.63380577078323,-0.19
1.01,0.0,1.0,1.0,0.35593786905920805,248.95119918234045,160.63380577078317,-0.18
1.01,0.0,1.0,1.0,0.35588030503417983,248.95111228866529,160.63380577078317,-0.17
1.01,0.0,1.0,1.0,0.35581913691793043,248.95088703615016,160.6338057707832,-0.16
1.01,0.0,1.0,1.0,0.35574121767795197,248.95044712943584,160.6338057707832,-0.15
1.01,0.0,1.0,1.0,0.3556530384361661,248.94960537605127,160.63380577078308,-0.14
1.01,0.0,1.0,1.0,0.35556661642678017,248.94813535227755,160.63380577078314,-0.13
