MagCAPShock,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
-0.44,0.9945286370855269,0.9057879104822271,0.36547075795471223,268.5992491240765,157.24741800940376,-0.44
-0.43,0.9948702243405104,0.9116549348432935,0.365350536148221,267.42755563853626,157.2447125275005,-0.43
-0.42,0.9952116718520313,0.9175219592043601,0.3652326225480456,266.2260264623577,157.24227814558762,-0.42
-0.41,0.9955529785767974,0.9233889835654263,0.3651180114224812,264.9843356955091,157.2400989824829,-0.41
-0.4,0.9958941434753881,0.9292560079264931,0.3650071289757874,263.68618517671433,157.23816239361275,-0.4
-0.39,0.9962351655375626,0.9351230322875593,0.36490010189370947,262.22084721082007,157.2364582583857,-0.39
-0.38,0.9965760438134552,0.9409900566486259,0.36479692144593884,260.50191465774094,157.23497852947582,-0.38
-0.37,0.9969167774508848,0.9468570810096926,0.3646958460710594,258.41093746396285,157.2337167430206,-0.37
-0.36,0.9972573657384707,0.952724105370759,0.36459773590445715,255.94094023828868,157.23266837918152,-0.36
-0.35,0.9975978081535121,0.9585911297318254,0.3645041396725757,253.8405119045834,157.23087654874212,-0.35
-0.34,0.997938104413165,0.964458154092892,0.36441477044564313,253.1369382640779,157.22899694481512,-0.34
-0.33,0.9982782545295716,0.970307702890042,0.3643298620586836,253.41600637025053,157.2273325914985,-0.33
-0.32,0.9986182588809845,0.976038160084205,0.36425014134915995,253.81264185348462,157.22587480614246,-0.32
-0.31,0.9989581183457938,0.9817650522238738,0.36417660753112197,253.94035385454177,157.22461663301848,-0.31
-0.3,0.9992978346102834,0.987488390325326,0.3641100867115887,253.62415993392383,157.22355263060277,-0.3
-0.29,0.9996374107601065,0.9932082233576719,0.36405009921195935,252.7719772278116,157.2226785741868,-0.29
-0.28,0.9999722542091266,0.9989246644061658,0.3638141641690795,250.94899696159428,157.2900206027348,-0.28
-0.27,1.0,1.0,0.3633999523976099,248.89681750551165,157.43632897819356,-0.27
-0.26,1.0,1.0,0.36298810978542756,245.53329787994147,157.5790945535273,-0.26
-0.25,1.0,1.0,0.36257744638211326,242.16815067895013,157.72443697189357,-0.25
-0.24,1.0,1.0,0.3621683802417072,234.42373892583217,157.8697531245578,-0.24
-0.23,1.0,1.0,0.36176139568647203,235.38253171106763,158.0146246187015,-0.23
-0.22,1.0,1.0,0.3613552473340311,243.17343322838028,158.16065459809693,-0.22
-0.21,1.0,1.0,0.3609513033332994,246.81567866257373,158.30602945975713,-0.21
-0.2,1.0,1.0,0.3606351149084326,247.85021645590848,158.4204358093837,-0.2
-0.19,1.0,1.0,0.36021539991791435,248.42876092241355,158.57269709414155,-0.19
-0.18,1.0,1.0,0.35976651112597785,248.67367158799948,158.73893869816746,-0.18
-0.17,1.0,1.0,0.3593658966852691,248.7933072169522,158.88761664518196,-0.17
-0.16,1.0,1.0,0.3589668891633094,248.85671794096913,159.03644133302322,-0.16
-0.15,1.0,1.0,0.3585302618743633,248.89628688799712,159.2185381544812,-0.15
-0.14,1.0,1.0,0.3580599609003811,248.91698191658583,159.42236235299777,-0.14
-0.13,1.0,1.0,0.357587047797719,248.92704698408468,159.62682256107672,-0.13
-0.12,1.0,1.0,0.35719439552374127,248.93354463098166,159.79193756141217,-0.12
-0.11,1.0,1.0,0.3567244213113345,248.9345534198104,159.99643927513034,-0.11
-0.1,1.0,1.0,0.3562461687790525,248.92536461489533,160.20222421632099,-0.1
-0.09,1.0,1.0,0.35575251359070853,248.90306797527538,160.4092721680821,-0.09
-0.08,1.0,1.0,0.3552436248984163,248.864334580548,160.61137275330503,-0.08
-0.07,1.0,1.0,0.35512923724493134,248.79897779322718,160.63380577078323,-0.07
-0.06,1.0,1.0,0.3550690992273065,248.6868750852776,160.63380577078317,-0.06
-0.05,1.0,1.0,0.35501196158970155,248.6633370100104,160.63380577078314,-0.05
-0.04,1.0,1.0,0.3549576103239809,248.6633370100104,160.6338057707831,-0.04
-0.03,1.0,1.0,0.35490584700020283,248.6633370100104,160.6338057707832,-0.03
-0.02,1.0,1.0,0.35485649107883094,248.6633370100104,160.6338057707832,-0.02
-0.01,1.0,1.0,0.35483508995489244,248.6633370100104,160.6338057707832,-0.01
0.0,1.0,1.0,0.3548350899548925,248.6633370100104,160.63380577078317,0.0
