MagCAPShock,IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,0.0,51.0,1.0,1.0,160.63380577078317,240.9958459889957,0.0
-1.0,0.01,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67190378279264,266.73744508330856,-1.0
-0.99,0.01,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74935228340266,266.10410047681563,-0.99
-0.98,0.01,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222793217058,265.4590466007483,-0.98
-0.97,0.01,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91529089447357,264.80763502537184,-0.97
-0.96,0.01,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,264.15303057273735,-0.96
-0.95,0.01,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,263.4969160653813,-0.95
-0.94,0.01,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,262.840306310592,-0.94
-0.93,0.01,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,262.1840644598054,-0.93
-0.92,0.01,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,261.5290427378293,-0.92
-0.91,0.01,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,260.87561892877545,-0.91
-0.9,0.01,50.688668628440475,0.9938954633027544,0.8900876681972218,155.4957170997795,260.2228924917279,-0.9
-0.89,0.01,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,259.56899964685635,-0.89
-0.88,0.01,50.72308449538315,0.9945702842231989,0.9016613345585685,155.6582177752356,258.90978023556056,-0.88
-0.87,0.01,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,258.2471040465571,-0.87
-0.86,0.01,50.75746605189812,0.9952444323901593,0.9132350009199148,155.82804430016793,257.58253977464506,-0.86
-0.85,0.01,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,256.9166067377654,-0.85
-0.84,0.01,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,256.249034339233,-0.84
-0.83,0.01,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,255.57943809367512,-0.83
-0.82,0.01,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,254.90724588341124,-0.82
-0.81,0.01,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,254.23155849772812,-0.81
-0.8,0.01,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,253.55088755314375,-0.8
-0.79,0.01,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926355,252.86266855525702,-0.79
-0.78,0.01,50.89449178148165,0.9979312114016009,0.9595296663653011,156.50596187181293,252.16231127906426,-0.78
-0.77,0.01,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,251.44047460665936,-0.77
-0.76,0.01,50.92861737220489,0.9986003406314684,0.9711033327266476,156.6707113667229,250.6845453981627,-0.76
-0.75,0.01,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,249.87124841870403,-0.75
-0.74,0.01,50.96268517602436,0.9992683367847913,0.9826769990879943,156.84374385145816,248.96536637280317,-0.74
-0.73,0.01,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,247.92403683084368,-0.73
-0.72,0.01,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,246.71894278081047,-0.72
-0.71,0.01,51.0,1.0,1.0,157.0957798153916,245.37690127861006,-0.71
-0.7,0.01,51.0,1.0,1.0,157.18281793118067,243.99828322626902,-0.7
-0.69,0.01,51.0,1.0,1.0,157.27000575570796,242.70368814613286,-0.69
-0.68,0.01,51.0,1.0,1.0,157.35734351249053,241.56141209877222,-0.68
-0.67,0.01,51.0,1.0,1.0,157.44480910200622,240.5832044773122,-0.67
-0.66,0.01,51.0,1.0,1.0,157.5323876394251,239.7466883615504,-0.66
-0.65,0.01,51.0,1.0,1.0,157.62003426694844,239.01811608480205,-0.65
-0.64,0.01,51.0,1.0,1.0,157.69933667534684,238.374683994506,-0.64
-0.63,0.01,51.0,1.0,1.0,157.78723477528627,237.80913978516125,-0.63
-0.62,0.01,51.0,1.0,1.0,157.87524899059244,237.32389214211906,-0.62
-0.61,0.01,51.0,1.0,1.0,157.96337881553697,236.92449808719567,-0.61
-0.6,0.01,51.0,1.0,1.0,158.0516242021337,236.61510843974474,-0.6
-0.59,0.01,51.0,1.0,1.0,158.13998551230296,236.3957417870193,-0.59
-0.58,0.01,51.0,1.0,1.0,158.2283998073247,236.26113033452086,-0.58
-0.57,0.01,51.0,1.0,1.0,158.3088384219583,236.20100609773434,-0.57
-0.56,0.01,51.0,1.0,1.0,158.3975115571826,236.2015396165701,-0.56
-0.55,0.01,51.0,1.0,1.0,158.48630819538147,236.24736928257147,-0.55
-0.54,0.01,51.0,1.0,1.0,158.5752300704683,236.32357600649098,-0.54
-0.53,0.01,51.0,1.0,1.0,158.66427920246088,236.4171295357431,-0.53
-0.52,0.01,51.0,1.0,1.0,158.7534579056446,236.5176401684878,-0.52
-0.51,0.01,51.0,1.0,1.0,158.84276879318438,236.61750561656635,-0.51
-0.5,0.01,51.0,1.0,1.0,158.92592191866405,236.71165600531612,-0.5
-0.49,0.01,51.0,1.0,1.0,159.0154121056732,236.797103273979,-0.49
