MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.31,0.03,51.0,1.0,1.0,188.668567214128,698.3291803363095,-0.31
-0.3,0.03,51.0,1.0,1.0,188.76059073030538,698.3600627213812,-0.3
-0.29,0.03,51.0,1.0,1.0,188.85268287626022,698.3914149282206,-0.29
-0.28,0.03,51.0,1.0,1.0,188.94484592540738,698.4232451904629,-0.28
-0.27,0.03,51.0,1.0,1.0,189.49331701549093,697.7947487091658,-0.27
-0.26,0.03,51.0,1.0,1.0,190.30440290132896,696.785988809042,-0.26
-0.25,0.03,51.0,1.0,1.0,191.11501782184288,695.7778953241982,-0.25
-0.24,0.03,51.0,1.0,1.0,191.92515318140693,694.7704615196593,-0.24
-0.23,0.03,51.0,1.0,1.0,192.73480078095523,693.7636787039489,-0.23
-0.22,0.03,51.0,1.0,1.0,193.54395283716983,692.7575361411068,-0.22
-0.21,0.03,51.0,1.0,1.0,194.35260200278734,691.7520209592905,-0.21
-0.2,0.03,51.0,1.0,1.0,195.16074138804984,690.7471180559878,-0.2
-0.19,0.03,51.0,1.0,1.0,195.96836458331182,689.7428099999381,-0.19
-0.18,0.03,51.0,1.0,1.0,195.22724015314685,688.7390769300638,-0.18
-0.17,0.03,51.0,1.0,1.0,195.6731787691914,687.7358964514228,-0.17
-0.16,0.03,51.0,1.0,1.0,195.8910930833064,686.7332435284468,-0.16
-0.15,0.03,51.0,1.0,1.0,200.51546989967957,645.3183546389647,-0.15
-0.14,0.03,51.0,1.0,1.0,202.8407115290145,604.0927977651363,-0.14
-0.13,0.03,51.0,1.0,1.0,205.09415848133443,594.792685582829,-0.13
-0.12,0.03,51.0,1.0,1.0,206.31988694425274,640.6283601454662,-0.12
-0.11,0.03,51.0,1.0,1.0,206.33376734711655,623.2909149807908,-0.11
-0.1,0.03,51.0,1.0,1.0,208.77311037714077,604.2800946155344,-0.1
-0.09,0.03,51.0,1.0,1.0,210.1208821846737,613.2741670015495,-0.09
-0.08,0.03,51.0,1.0,1.0,212.05028303487552,643.2939872474608,-0.08
-0.07,0.03,51.0,1.0,1.0,212.76290081594033,603.8202508893544,-0.07
-0.06,0.03,51.0,1.0,1.0,213.7194071664178,619.4687809597405,-0.06
-0.05,0.03,51.0,1.0,1.0,215.4027027822442,637.348960644476,-0.05
-0.04,0.03,51.0,1.0,1.0,217.59315851387436,634.5217463416216,-0.04
-0.03,0.03,51.0,1.0,1.0,214.93657532094633,637.9841245089052,-0.03
-0.02,0.03,51.0,1.0,1.0,211.52880940758186,686.9271149881728,-0.02
-0.01,0.03,51.0,1.0,1.0,214.26645643012117,656.9716646236149,-0.01
0.0,0.03,51.0,1.0,1.0,212.879652174238,682.2863743988659,0.0
-1.0,0.035,51.0,1.0,1.0,194.5913758782443,587.7520633630264,-1.0
