IF_sens_s,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
39.495985680294396,0.0,51.0,1.0,1.0,160.63380577078317,251.24785974590952,-0.284
42.86181551316834,0.0,51.0,1.0,1.0,160.63380577078317,251.2478607248554,-0.284
46.5144798247553,0.0,51.0,1.0,1.0,160.63380577078317,251.2478609521472,-0.284
50.47842251812341,0.0,51.0,1.0,1.0,160.63380577078317,251.24786099888186,-0.284
54.780170594578784,0.0,51.0,1.0,1.0,160.63380577078317,251.247861007314,-0.284
59.44851167434448,0.0,51.0,1.0,1.0,160.63380577078317,251.24786100863594,-0.284
64.51468664547063,0.0,51.0,1.0,1.0,160.63380577078317,251.24786100881437,-0.284
70.01259873019619,0.0,51.0,1.0,1.0,160.63380577078317,251.24786100883478,-0.284
75.97904036785103,0.0,51.0,1.0,1.0,160.63380577078317,251.24786100883668,-0.284
82.45393943261438,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
89.48062643383894,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
97.1061244870633,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
105.38146399622259,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
114.36202415293195,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
124.10790353818399,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
134.68432230655196,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
146.16205864434843,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
158.61792242254668,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
172.13526921418944,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
186.80455811612384,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
202.723957108052,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
220.0,0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
4.0,0.01,51.0,1.0,1.0,160.63380577078317,252.8914254791585,-0.284
4.340878170264604,0.01,51.0,1.0,1.0,160.63380577078317,251.86092215941585,-0.284
4.710805822269944,0.01,51.0,1.0,1.0,160.63380577078317,250.82854173565477,-0.284
5.11225853956175,0.01,51.0,1.0,1.0,160.63380577078317,249.79897006147164,-0.284
5.547922873783102,0.01,51.0,1.0,1.0,160.63380577078317,248.79798916853795,-0.284
6.020714323279183,0.01,51.0,1.0,1.0,160.63380577078317,247.92020888459308,-0.284
6.533796843830508,0.01,51.0,1.0,1.0,160.63380577078317,247.40966645112204,-0.284
7.090604022081906,0.01,51.0,1.0,1.0,160.63380577078317,247.57030031096488,-0.284
7.694862053361437,0.01,51.0,1.0,1.0,160.63380577078317,248.30042988336336,-0.284
8.350614677658532,0.01,51.0,1.0,1.0,160.63380577078317,249.1376506948188,-0.284
9.062250240634778,0.01,51.0,1.0,1.0,160.63380577078317,249.81588387209385,-0.284
9.834531060761668,0.01,51.0,1.0,1.0,160.63380577078317,250.30352293295178,-0.284
10.672625299112381,0.01,51.0,1.0,1.0,160.63380577078317,250.638502260148,-0.284
11.582141545082669,0.01,51.0,1.0,1.0,160.63380577078317,250.86367581502745,-0.284
