MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.42,0.0,51.0,1.0,1.0,159.64232065068379,251.2448372517841,-0.42
-0.41,0.0,51.0,1.0,1.0,159.73139308471562,251.24649839882963,-0.41
-0.4,0.0,51.0,1.0,1.0,159.82041430813396,251.24773211341355,-0.4
-0.39,0.0,51.0,1.0,1.0,159.90940370148698,251.24786774532055,-0.39
-0.38,0.0,51.0,1.0,1.0,159.99841099542607,251.24786595833925,-0.38
-0.37,0.0,51.0,1.0,1.0,160.0875439778292,251.24786428801028,-0.37
-0.36,0.0,51.0,1.0,1.0,160.17704640284134,251.24786274641963,-0.36
-0.35,0.0,51.0,1.0,1.0,160.26770295148387,251.24786132495856,-0.35
-0.34,0.0,51.0,1.0,1.0,160.3465259770447,251.24786102164936,-0.34
-0.33,0.0,51.0,1.0,1.0,160.4181333681921,251.24786103499787,-0.33
-0.32,0.0,51.0,1.0,1.0,160.50332350940892,251.24786103021296,-0.32
-0.31,0.0,51.0,1.0,1.0,160.58938681991935,251.24786102476637,-0.31
-0.3,0.0,51.0,1.0,1.0,160.63380577078317,251.24786101895552,-0.3
-0.29,0.0,51.0,1.0,1.0,160.6338057707831,251.2478610127552,-0.29
-0.28,0.0,51.0,1.0,1.0,160.63380577078317,251.24786086428196,-0.28
-0.27,0.0,51.0,1.0,1.0,160.63380577078314,251.24785951600674,-0.27
-0.26,0.0,51.0,1.0,1.0,160.6338057707832,251.24785749768878,-0.26
-0.25,0.0,51.0,1.0,1.0,160.63380577078317,251.2478544890411,-0.25
-0.24,0.0,51.0,1.0,1.0,160.6338057707832,251.24785039603887,-0.24
-0.23,0.0,51.0,1.0,1.0,160.63380577078314,251.24784977547665,-0.23
-0.22,0.0,51.0,1.0,1.0,160.6338057707832,251.24784896008907,-0.22
-0.21,0.0,51.0,1.0,1.0,160.6338057707832,251.24784809256073,-0.21
-0.2,0.0,51.0,1.0,1.0,160.63380577078317,251.2478361618479,-0.2
-0.19,0.0,51.0,1.0,1.0,160.63380577078323,251.24777260073344,-0.19
-0.18,0.0,51.0,1.0,1.0,160.63380577078317,251.24768230554488,-0.18
-0.17,0.0,51.0,1.0,1.0,160.63380577078317,251.24755439858882,-0.17
-0.16,0.0,51.0,1.0,1.0,160.6338057707832,251.24737371244927,-0.16
-0.15,0.0,51.0,1.0,1.0,160.6338057707832,251.2470496028042,-0.15
-0.14,0.0,51.0,1.0,1.0,160.63380577078308,251.2465343384059,-0.14
-0.13,0.0,51.0,1.0,1.0,160.63380577078314,251.24643386510272,-0.13
-0.12,0.0,51.0,1.0,1.0,160.63380577078325,251.24360962358728,-0.12
-0.11,0.0,51.0,1.0,1.0,160.6338057707832,251.23905632647381,-0.11
-0.1,0.0,51.0,1.0,1.0,160.6338057707831,251.23209372604282,-0.1
-0.09,0.0,51.0,1.0,1.0,160.6338057707831,251.22146341780592,-0.09
-0.08,0.0,51.0,1.0,1.0,160.63380577078317,251.2052338588424,-0.08
-0.07,0.0,51.0,1.0,1.0,160.63380577078323,251.18041433959226,-0.07
-0.06,0.0,51.0,1.0,1.0,160.63380577078317,251.14230267497655,-0.06
-0.05,0.0,51.0,1.0,1.0,160.63380577078314,251.1388177018827,-0.05
-0.04,0.0,51.0,1.0,1.0,160.6338057707831,251.1388177018827,-0.04
-0.03,0.0,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.03
-0.02,0.0,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.02
-0.01,0.0,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.01
0.0,0.0,51.0,1.0,1.0,160.63380577078317,251.1388177018827,0.0
-1.0,0.01,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67189506230548,282.27204471216504,-1.0
-0.99,0.01,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74934719782618,281.4729164637055,-0.99
-0.98,0.01,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222449511,280.6736643746728,-0.98
-0.97,0.01,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91528717094454,279.87422989307595,-0.97
-0.96,0.01,50.58512821131122,0.9918652590453181,0.8553666691131823,154.998530885824,279.0745453777846,-0.96
-0.95,0.01,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819508223974,278.2745334830587,-0.95
-0.94,0.01,50.61969049357019,0.9925429508543174,0.8669403354745288,155.1596778842299,277.4740985363765,-0.94
-0.93,0.01,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24342663903712,276.67310250330104,-0.93
