MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.86,4.710805822269944,51.0,1.0,1.0,206.33930737972534,579.0081884086586,-0.86
-0.85,4.710805822269944,51.0,1.0,1.0,206.32539060581126,579.2164142060494,-0.85
-0.84,4.710805822269944,51.0,1.0,1.0,206.31177888409977,580.1709587326455,-0.84
-0.83,4.710805822269944,51.0,1.0,1.0,206.29819898236383,581.6651530884375,-0.83
-0.82,4.710805822269944,51.0,1.0,1.0,206.2843635399535,583.4490413693454,-0.82
-0.81,4.710805822269944,51.0,1.0,1.0,206.26995861007728,585.3016096578565,-0.81
-0.8,4.710805822269944,51.0,1.0,1.0,206.2546354058145,587.0649426658487,-0.8
-0.79,4.710805822269944,51.0,1.0,1.0,206.23800740376612,588.6458318501661,-0.79
-0.78,4.710805822269944,51.0,1.0,1.0,206.21965460664984,590.0054581542869,-0.78
-0.77,4.710805822269944,51.0,1.0,1.0,206.1991375273437,591.1490617533022,-0.77
-0.76,4.710805822269944,51.0,1.0,1.0,206.17602423381646,592.1146051757395,-0.76
-0.75,4.710805822269944,51.0,1.0,1.0,206.14993438317703,592.9570174830977,-0.75
-0.74,4.710805822269944,51.0,1.0,1.0,206.1206042146179,593.7306270037225,-0.74
-0.73,4.710805822269944,51.0,1.0,1.0,206.0879754222324,594.4759290906219,-0.73
-0.72,4.710805822269944,51.0,1.0,1.0,206.07868629460194,594.7357560342019,-0.72
-0.71,4.710805822269944,51.0,1.0,1.0,206.13885741823574,593.5477629846692,-0.71
-0.7,4.710805822269944,51.0,1.0,1.0,206.18180636171135,592.4299043425985,-0.7
-0.69,4.710805822269944,51.0,1.0,1.0,206.20997686311472,591.3879657077804,-0.69
-0.68,4.710805822269944,51.0,1.0,1.0,206.22632434714723,590.4260026779349,-0.68
-0.67,4.710805822269944,51.0,1.0,1.0,206.23392451655195,589.547036546536,-0.67
-0.66,4.710805822269944,51.0,1.0,1.0,206.2356727508921,588.7529551142142,-0.66
-0.65,4.710805822269944,51.0,1.0,1.0,206.23408623133398,588.0045839975396,-0.65
-0.64,4.710805822269944,51.0,1.0,1.0,206.2312029415116,587.3109503196681,-0.64
-0.63,4.710805822269944,51.0,1.0,1.0,206.2285600246612,586.6947591112427,-0.63
-0.62,4.710805822269944,51.0,1.0,1.0,206.22722862526024,586.150840235481,-0.62
-0.61,4.710805822269944,51.0,1.0,1.0,206.22788227899474,585.6721613330114,-0.61
-0.6,4.710805822269944,51.0,1.0,1.0,206.23087940963575,585.2505323331699,-0.6
-0.59,4.710805822269944,51.0,1.0,1.0,206.23634569590817,584.8773429541542,-0.59
-0.58,4.710805822269944,51.0,1.0,1.0,206.2442474593258,584.5441950382688,-0.58
-0.57,4.710805822269944,51.0,1.0,1.0,206.2703182001188,584.2578735784705,-0.57
-0.56,4.710805822269944,51.0,1.0,1.0,206.3346321453988,584.0315430632265,-0.56
-0.55,4.710805822269944,51.0,1.0,1.0,206.39993470286703,583.8261778745119,-0.55
-0.54,4.710805822269944,51.0,1.0,1.0,206.46602873565692,583.6369539262025,-0.54
-0.53,4.710805822269944,51.0,1.0,1.0,206.5327341704731,583.4600792917197,-0.53
