MagCAPShock,IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.07,4.0,51.0,1.0,1.0,213.4922266873535,556.9931168169509,-0.07
-0.06,4.0,51.0,1.0,1.0,212.90594335100795,572.3528304303319,-0.06
-0.05,4.0,51.0,1.0,1.0,215.95350987442592,549.9248181092652,-0.05
-0.04,4.0,51.0,1.0,1.0,217.57877574015768,551.9897043151876,-0.04
-0.03,4.0,51.0,1.0,1.0,215.98827668058917,562.9080018622536,-0.03
-0.02,4.0,51.0,1.0,1.0,220.34194198699615,541.8281152490414,-0.02
-0.01,4.0,51.0,1.0,1.0,221.42405872703614,568.8879374300817,-0.01
0.0,4.0,51.0,1.0,1.0,219.80101142842707,549.0912954798424,0.0
-1.0,4.340878170264604,51.0,1.0,1.0,194.74668271186528,586.1664318681472,-1.0
-0.99,4.340878170264604,51.0,1.0,1.0,194.86874618422098,586.4458230750594,-0.99
-0.98,4.340878170264604,51.0,1.0,1.0,194.9899319068078,586.7211978031345,-0.98
-0.97,4.340878170264604,51.0,1.0,1.0,195.11053264532262,586.9925843056548,-0.97
-0.96,4.340878170264604,51.0,1.0,1.0,195.2305295722975,587.2600141751857,-0.96
-0.95,4.340878170264604,51.0,1.0,1.0,195.349879257195,587.5235223434531,-0.95
-0.94,4.340878170264604,51.0,1.0,1.0,195.46852628823066,587.7831470714353,-0.94
-0.93,4.340878170264604,51.0,1.0,1.0,195.5863682454122,588.0389299306485,-0.93
-0.92,4.340878170264604,51.0,1.0,1.0,195.63815151823206,588.290915777509,-0.92
-0.91,4.340878170264604,51.0,1.0,1.0,195.68345464120125,588.5391527217107,-0.91
-0.9,4.340878170264604,51.0,1.0,1.0,195.729414595364,588.7836920896103,-0.9
-0.89,4.340878170264604,51.0,1.0,1.0,195.84083621293547,589.0245883834585,-0.89
-0.88,4.340878170264604,51.0,1.0,1.0,195.95888037716034,589.2618992374041,-0.88
-0.87,4.340878170264604,51.0,1.0,1.0,196.07638433207802,589.495685370589,-0.87
-0.86,4.340878170264604,51.0,1.0,1.0,196.1932631439454,589.7260105381291,-0.86
-0.85,4.340878170264604,51.0,1.0,1.0,196.30947514729544,589.9529414801258,-0.85
-0.84,4.340878170264604,51.0,1.0,1.0,196.42499503168048,590.1765478694095,-0.84
-0.83,4.340878170264604,51.0,1.0,1.0,196.53980563343208,590.3969022580884,-0.83
-0.82,4.340878170264604,51.0,1.0,1.0,196.65389457331463,590.6140800231476,-0.82
-0.81,4.340878170264604,51.0,1.0,1.0,196.76725263288125,590.8281593114554,-0.81
-0.8,4.340878170264604,51.0,1.0,1.0,196.87987288085816,591.039220984132,-0.8
-0.79,4.340878170264604,51.0,1.0,1.0,196.99175016452006,591.2473485606523,-0.79
-0.78,4.340878170264604,51.0,1.0,1.0,197.1028807944965,591.4526281625376,-0.78
-0.77,4.340878170264604,51.0,1.0,1.0,197.21326233864997,591.6551484569803,-0.77
-0.76,4.340878170264604,51.0,1.0,1.0,197.32281770108548,591.8550006000653,-0.76
-0.75,4.340878170264604,51.0,1.0,1.0,197.43146665448904,592.0522781801843,-0.75
-0.74,4.340878170264604,51.0,1.0,1.0,197.51135353394397,592.2470771610904,-0.74
-0.73,4.340878170264604,51.0,1.0,1.0,197.5894753831237,591.778360908963,-0.73
-0.72,4.340878170264604,51.0,1.0,1.0,197.66240585091356,590.9971859749949,-0.72
-0.71,4.340878170264604,51.0,1.0,1.0,197.77064855359038,590.1767111122282,-0.71
-0.7,4.340878170264604,51.0,1.0,1.0,197.84829737035403,589.3182194734273,-0.7
-0.69,4.340878170264604,51.0,1.0,1.0,197.91811590843926,588.4230576818009,-0.69
-0.68,4.340878170264604,51.0,1.0,1.0,197.97607476962264,587.4926328518881,-0.68
-0.67,4.340878170264604,51.0,1.0,1.0,198.1173525119055,586.5284038936641,-0.67
-0.66,4.340878170264604,51.0,1.0,1.0,198.2430061832361,585.5318643670441,-0.66
-0.65,4.340878170264604,51.0,1.0,1.0,198.34158115625175,584.5045131842222,-0.65
-0.64,4.340878170264604,51.0,1.0,1.0,198.41437589963024,583.4478083923202,-0.64
-0.63,4.340878170264604,51.0,1.0,1.0,198.47904456801905,582.3630982942573,-0.63
-0.62,4.340878170264604,51.0,1.0,1.0,198.55617884748978,581.2515236779453,-0.62
-0.61,4.340878170264604,51.0,1.0,1.0,198.59114902698582,580.1138856310876,-0.61
-0.6,4.340878170264604,51.0,1.0,1.0,198.62292441864597,578.9504764424128,-0.6
-0.59,4.340878170264604,51.0,1.0,1.0,198.6522641740375,577.7608779241954,-0.59
-0.58,4.340878170264604,51.0,1.0,1.0,198.6841418472559,576.5437436751563,-0.58
-0.57,4.340878170264604,51.0,1.0,1.0,198.7228643908021,575.2965999571845,-0.57
-0.56,4.340878170264604,51.0,1.0,1.0,198.77183453439596,574.0157218776751,-0.56
-0.55,4.340878170264604,51.0,1.0,1.0,198.82332640143144,572.6961606218863,-0.55
-0.54,4.340878170264604,51.0,1.0,1.0,198.87694045062318,571.3320001471228,-0.54
-0.53,4.340878170264604,51.0,1.0,1.0,198.93234564568752,569.9168883221179,-0.53
-0.52,4.340878170264604,51.0,1.0,1.0,199.00805966392682,568.4448405481925,-0.52
-0.51,4.340878170264604,51.0,1.0,1.0,199.08749762064187,566.9111410998156,-0.51
-0.5,4.340878170264604,51.0,1.0,1.0,199.16770374760478,565.3131875724749,-0.5
-0.49,4.340878170264604,51.0,1.0,1.0,199.24603587406986,563.6510035185565,-0.49
-0.48,4.340878170264604,51.0,1.0,1.0,199.31935766255563,561.927408359879,-0.48
-0.47,4.340878170264604,51.0,1.0,1.0,199.43885733844766,560.1467870826477,-0.47
-0.46,4.340878170264604,51.0,1.0,1.0,199.55772151744938,558.313135513088,-0.46
-0.45,4.340878170264604,51.0,1.0,1.0,199.67614587552103,556.4335064062063,-0.45
-0.44,4.340878170264604,51.0,1.0,1.0,199.79425924969905,554.5132895912941,-0.44
-0.43,4.340878170264604,51.0,1.0,1.0,199.8615774292116,552.5441726901363,-0.43
-0.42,4.340878170264604,51.0,1.0,1.0,199.954658351075,550.4635720920202,-0.42
-0.41,4.340878170264604,51.0,1.0,1.0,200.07025948819148,548.317755887479,-0.41
-0.4,4.340878170264604,51.0,1.0,1.0,200.18593580084038,546.0975354271484,-0.4
-0.39,4.340878170264604,51.0,1.0,1.0,200.2983054549998,543.7933105749322,-0.39
-0.38,4.340878170264604,51.0,1.0,1.0,200.41337891101335,541.3991895496831,-0.38
-0.37,4.340878170264604,51.0,1.0,1.0,200.51853701346738,538.920110667315,-0.37
-0.36,4.340878170264604,51.0,1.0,1.0,200.56480492418657,536.3859032783477,-0.36
-0.35,4.340878170264604,51.0,1.0,1.0,200.6103673310446,533.8675985437609,-0.35
-0.34,4.340878170264604,51.0,1.0,1.0,200.6558687336025,531.4911885208829,-0.34
-0.33,4.340878170264604,51.0,1.0,1.0,200.7013035813071,529.4280587733493,-0.33
-0.32,4.340878170264604,51.0,1.0,1.0,200.74666930274384,527.8458699770118,-0.32
-0.31,4.340878170264604,51.0,1.0,1.0,200.7919661343742,526.8421759354198,-0.31
-0.3,4.340878170264604,51.0,1.0,1.0,200.83719696738532,526.4183363169046,-0.3
-0.29,4.340878170264604,51.0,1.0,1.0,200.88236720381454,526.5128098416328,-0.29
-0.28,4.340878170264604,51.0,1.0,1.0,200.92748461715288,527.0483322876036,-0.28
-0.27,4.340878170264604,51.0,1.0,1.0,200.97255921553642,527.9508814580013,-0.27
-0.26,4.340878170264604,51.0,1.0,1.0,201.01760310768944,529.1405114983705,-0.26
-0.25,4.340878170264604,51.0,1.0,1.0,201.06263037331695,530.5381012923566,-0.25
-0.24,4.340878170264604,51.0,1.0,1.0,201.10765694058287,532.0644923649461,-0.24
-0.23,4.340878170264604,51.0,1.0,1.0,201.1527004740326,533.6491425388268,-0.23
-0.22,4.340878170264604,51.0,1.0,1.0,201.1977802766082,535.2410070577795,-0.22
-0.21,4.340878170264604,51.0,1.0,1.0,201.2429172096593,536.8090151121953,-0.21
-0.2,4.340878170264604,51.0,1.0,1.0,201.28813363492154,538.3375463337825,-0.2
-0.19,4.340878170264604,51.0,1.0,1.0,201.33345338280563,539.8212066201886,-0.19
-0.18,4.340878170264604,51.0,1.0,1.0,201.37890175197535,541.2604239856792,-0.18
-0.17,4.340878170264604,51.0,1.0,1.0,201.42450554691692,542.6584150902936,-0.17
-0.16,4.340878170264604,51.0,1.0,1.0,201.47029316324637,544.0193586820848,-0.16
-0.15,4.340878170264604,51.0,1.0,1.0,202.22447560742506,531.7822154325152,-0.15
-0.14,4.340878170264604,51.0,1.0,1.0,204.42814894668848,570.8608617644154,-0.14
-0.13,4.340878170264604,51.0,1.0,1.0,204.96390473387777,545.3817713499172,-0.13
-0.12,4.340878170264604,51.0,1.0,1.0,206.55479067202478,553.8263213998932,-0.12
-0.11,4.340878170264604,51.0,1.0,1.0,208.55613242417607,538.6692616094039,-0.11
-0.1,4.340878170264604,51.0,1.0,1.0,210.40602924038873,555.1802249889362,-0.1
-0.09,4.340878170264604,51.0,1.0,1.0,211.03494811093157,545.7673928972661,-0.09
-0.08,4.340878170264604,51.0,1.0,1.0,211.85319523810122,556.8953399614823,-0.08
-0.07,4.340878170264604,51.0,1.0,1.0,213.44499812104738,554.6799009511922,-0.07
-0.06,4.340878170264604,51.0,1.0,1.0,212.44555125641722,574.0408292136376,-0.06
-0.05,4.340878170264604,51.0,1.0,1.0,216.01734838818754,549.4318636323299,-0.05
-0.04,4.340878170264604,51.0,1.0,1.0,217.5682994692803,545.5655742420887,-0.04
-0.03,4.340878170264604,51.0,1.0,1.0,217.06587829813458,566.9489012957142,-0.03
-0.02,4.340878170264604,51.0,1.0,1.0,220.30173823222455,538.8006882503761,-0.02
-0.01,4.340878170264604,51.0,1.0,1.0,222.58573400715537,571.3417136609041,-0.01
0.0,4.340878170264604,51.0,1.0,1.0,220.65284120591684,546.4593591758028,0.0
-1.0,4.710805822269944,51.0,1.0,1.0,194.9635955079244,587.8306713485582,-1.0
-0.99,4.710805822269944,51.0,1.0,1.0,194.9843292533022,588.1327553253948,-0.99
-0.98,4.710805822269944,51.0,1.0,1.0,195.00666998661902,588.4301024291384,-0.98
-0.97,4.710805822269944,51.0,1.0,1.0,195.12947785990661,588.722741285034,-0.97
-0.96,4.710805822269944,51.0,1.0,1.0,195.25215574091794,589.0107044134144,-0.96
-0.95,4.710805822269944,51.0,1.0,1.0,195.3743063071323,589.2940282188457,-0.95
-0.94,4.710805822269944,51.0,1.0,1.0,195.49582325251208,589.5727529692099,-0.94
-0.93,4.710805822269944,51.0,1.0,1.0,195.61665537633843,589.8469227663747,-0.93
-0.92,4.710805822269944,51.0,1.0,1.0,195.73677235028646,590.1165855100455,-0.92
-0.91,4.710805822269944,51.0,1.0,1.0,195.85615287406324,590.3817928556905,-0.91
-0.9,4.710805822269944,51.0,1.0,1.0,195.97477724165788,590.6426001678216,-0.9
-0.89,4.710805822269944,51.0,1.0,1.0,196.09261359953376,590.899066469416,-0.89
-0.88,4.710805822269944,51.0,1.0,1.0,196.20951535644565,591.1512543881985,-0.88
-0.87,4.710805822269944,51.0,1.0,1.0,196.28916565521808,591.3992301002553,-0.87
-0.86,4.710805822269944,51.0,1.0,1.0,196.32401250651623,591.6430632718876,-0.86
-0.85,4.710805822269944,51.0,1.0,1.0,196.4262913874901,591.8828269995965,-0.85
-0.84,4.710805822269944,51.0,1.0,1.0,196.53672124364343,592.1185977488904,-0.84
-0.83,4.710805822269944,51.0,1.0,1.0,196.64688823285877,592.3504552921947,-0.83
-0.82,4.710805822269944,51.0,1.0,1.0,196.75671838983146,592.5784826458362,-0.82
-0.81,4.710805822269944,51.0,1.0,1.0,196.86618347107213,592.8027660065522,-0.81
-0.8,4.710805822269944,51.0,1.0,1.0,196.97527292949565,593.0233946874306,-0.8
-0.79,4.710805822269944,51.0,1.0,1.0,197.08398510984807,593.2404610537205,-0.79
-0.78,4.710805822269944,51.0,1.0,1.0,197.1923234984811,593.4540604580709,-0.78
-0.77,4.710805822269944,51.0,1.0,1.0,197.30029478921014,593.6642911758249,-0.77
-0.76,4.710805822269944,51.0,1.0,1.0,197.4079077106858,593.8712543400355,-0.76
-0.75,4.710805822269944,51.0,1.0,1.0,197.5151721908324,594.0750538762474,-0.75
-0.74,4.710805822269944,51.0,1.0,1.0,197.62209866541843,594.344716181916,-0.74
-0.73,4.710805822269944,51.0,1.0,1.0,197.72869744782975,594.8789805684413,-0.73
-0.72,4.710805822269944,51.0,1.0,1.0,197.8233475268696,595.4043385676351,-0.72
-0.71,4.710805822269944,51.0,1.0,1.0,197.93296582045417,594.2076408455047,-0.71
-0.7,4.710805822269944,51.0,1.0,1.0,198.035230305722,593.414060637056,-0.7
-0.69,4.710805822269944,51.0,1.0,1.0,198.10136580583224,592.5742778448174,-0.69
-0.68,4.710805822269944,51.0,1.0,1.0,198.1530453048628,591.6896408175676,-0.68
-0.67,4.710805822269944,51.0,1.0,1.0,198.217271190605,590.7615748241377,-0.67
-0.66,4.710805822269944,51.0,1.0,1.0,198.2870793835036,589.7915833176147,-0.66
-0.65,4.710805822269944,51.0,1.0,1.0,198.38205110361653,588.7812445551119,-0.65
-0.64,4.710805822269944,51.0,1.0,1.0,198.4851597400513,587.7322010545704,-0.64
-0.63,4.710805822269944,51.0,1.0,1.0,198.5397020000028,586.6461382588456,-0.63
-0.62,4.710805822269944,51.0,1.0,1.0,198.55316044209818,585.5247474310848,-0.62
-0.61,4.710805822269944,51.0,1.0,1.0,198.58400558457677,584.3696663257033,-0.61
-0.6,4.710805822269944,51.0,1.0,1.0,198.6123058144457,583.1823898698088,-0.6
-0.59,4.710805822269944,51.0,1.0,1.0,198.70705735138068,581.9641425850285,-0.59
-0.58,4.710805822269944,51.0,1.0,1.0,198.7154129169805,580.7157059395995,-0.58
-0.57,4.710805822269944,51.0,1.0,1.0,198.76041247673703,579.437199048684,-0.57
-0.56,4.710805822269944,51.0,1.0,1.0,198.81426959313924,578.127822469985,-0.56
-0.55,4.710805822269944,51.0,1.0,1.0,198.8676722385688,576.7855943668858,-0.55
-0.54,4.710805822269944,51.0,1.0,1.0,198.90798159739833,575.4071359626878,-0.54
-0.53,4.710805822269944,51.0,1.0,1.0,198.9751530021363,573.9875935563028,-0.53
-0.52,4.710805822269944,51.0,1.0,1.0,199.0383166542071,572.5208030681589,-0.52
-0.51,4.710805822269944,51.0,1.0,1.0,199.09871745460902,570.9997875398401,-0.51
-0.5,4.710805822269944,51.0,1.0,1.0,199.15665954778163,569.4176023807697,-0.5
-0.49,4.710805822269944,51.0,1.0,1.0,199.25171575086162,567.7684390342345,-0.49
-0.48,4.710805822269944,51.0,1.0,1.0,199.34834142430398,566.0486972182966,-0.48
-0.47,4.710805822269944,51.0,1.0,1.0,199.45127221475326,564.2577353760773,-0.47
-0.46,4.710805822269944,51.0,1.0,1.0,199.56780977582972,562.3980125005415,-0.46
-0.45,4.710805822269944,51.0,1.0,1.0,199.69008607035934,560.4748105190524,-0.45
-0.44,4.710805822269944,51.0,1.0,1.0,199.79614718566293,558.4927370997369,-0.44
-0.43,4.710805822269944,51.0,1.0,1.0,199.86284620901995,556.4590177386694,-0.43
-0.42,4.710805822269944,51.0,1.0,1.0,199.97967307282275,554.3800507351118,-0.42
-0.41,4.710805822269944,51.0,1.0,1.0,200.09637388169315,552.2597373866752,-0.41
-0.4,4.710805822269944,51.0,1.0,1.0,200.21291416772334,550.0427182664304,-0.4
-0.39,4.710805822269944,51.0,1.0,1.0,200.32473283123585,547.7224857710713,-0.39
-0.38,4.710805822269944,51.0,1.0,1.0,200.44054913161145,545.3156356602366,-0.38
-0.37,4.710805822269944,51.0,1.0,1.0,200.50111285010195,542.8093613720546,-0.37
-0.36,4.710805822269944,51.0,1.0,1.0,200.54614098291225,540.1966766100087,-0.36
-0.35,4.710805822269944,51.0,1.0,1.0,200.59114373800884,537.4889014994644,-0.35
-0.34,4.710805822269944,51.0,1.0,1.0,200.6361016558368,534.7367286571648,-0.34
-0.33,4.710805822269944,51.0,1.0,1.0,200.68100071276714,532.0564465927666,-0.33
-0.32,4.710805822269944,51.0,1.0,1.0,200.72583175947256,529.6409108417719,-0.32
-0.31,4.710805822269944,51.0,1.0,1.0,200.77059011190653,527.7184799705532,-0.31
-0.3,4.710805822269944,51.0,1.0,1.0,200.81527522689365,526.4568777290955,-0.3
-0.29,4.710805822269944,51.0,1.0,1.0,200.8598904216824,525.8920793359767,-0.29
-0.28,4.710805822269944,51.0,1.0,1.0,200.90444261375598,525.952924331366,-0.28
-0.27,4.710805822269944,51.0,1.0,1.0,200.9489420683631,526.532963446542,-0.27
-0.26,4.710805822269944,51.0,1.0,1.0,200.99340214874502,527.5287791618107,-0.26
-0.25,4.710805822269944,51.0,1.0,1.0,201.03783906927518,528.8385991780477,-0.25
-0.24,4.710805822269944,51.0,1.0,1.0,201.08227165539142,530.3528038410909,-0.24
-0.23,4.710805822269944,51.0,1.0,1.0,201.12672111662573,531.9838159670753,-0.23
-0.22,4.710805822269944,51.0,1.0,1.0,201.17121084059298,533.6550716099305,-0.22
-0.21,4.710805822269944,51.0,1.0,1.0,201.2157662166842,535.3163837885339,-0.21
-0.2,4.710805822269944,51.0,1.0,1.0,201.26041449857948,536.9408153261608,-0.2
-0.19,4.710805822269944,51.0,1.0,1.0,201.30518471485084,538.5177950309431,-0.19
-0.18,4.710805822269944,51.0,1.0,1.0,201.35010763733965,540.0461536478359,-0.18
-0.17,4.710805822269944,51.0,1.0,1.0,201.3952158183117,541.5293121895991,-0.17
-0.16,4.710805822269944,51.0,1.0,1.0,201.44054371084792,542.9723026690644,-0.16
-0.15,4.710805822269944,51.0,1.0,1.0,202.18887997724394,532.1049558653095,-0.15
-0.14,4.710805822269944,51.0,1.0,1.0,204.42327205912088,571.7860040542436,-0.14
-0.13,4.710805822269944,51.0,1.0,1.0,204.91917563668207,551.3163463634659,-0.13
-0.12,4.710805822269944,51.0,1.0,1.0,206.41498920029295,556.6355749387855,-0.12
-0.11,4.710805822269944,51.0,1.0,1.0,208.53865160602265,539.2597670925074,-0.11
-0.1,4.710805822269944,51.0,1.0,1.0,210.4084560613679,549.1611325713691,-0.1
-0.09,4.710805822269944,51.0,1.0,1.0,211.0437843337456,545.3869600232064,-0.09
-0.08,4.710805822269944,51.0,1.0,1.0,211.81204301056536,558.9393585700599,-0.08
-0.07,4.710805822269944,51.0,1.0,1.0,213.41787024076362,552.3072695476078,-0.07
-0.06,4.710805822269944,51.0,1.0,1.0,211.96937094589086,575.6697763775688,-0.06
-0.05,4.710805822269944,51.0,1.0,1.0,216.08672334688066,549.3522247457347,-0.05
-0.04,4.710805822269944,51.0,1.0,1.0,217.63919791443234,539.1742109546833,-0.04
-0.03,4.710805822269944,51.0,1.0,1.0,218.28820235730092,572.8411156683128,-0.03
-0.02,4.710805822269944,51.0,1.0,1.0,220.35431480133394,537.3483011360187,-0.02
-0.01,4.710805822269944,51.0,1.0,1.0,221.58758105089186,573.8395730162528,-0.01
0.0,4.710805822269944,51.0,1.0,1.0,221.31454737949878,548.1375071847235,0.0
-1.0,5.11225853956175,51.0,1.0,1.0,194.9591592324585,589.3670677073823,-1.0
-0.99,5.11225853956175,51.0,1.0,1.0,195.08391212690756,589.6918788836794,-0.99
-0.98,5.11225853956175,51.0,1.0,1.0,195.21511591614285,590.0112023502252,-0.98
-0.97,5.11225853956175,51.0,1.0,1.0,195.35877883981894,590.3250657432903,-0.97
-0.96,5.11225853956175,51.0,1.0,1.0,195.4750246581741,590.6335011941303,-0.96
-0.95,5.11225853956175,51.0,1.0,1.0,195.51103729082354,590.9365453101979,-0.95
-0.94,5.11225853956175,51.0,1.0,1.0,195.56452513403545,591.2342391461627,-0.94
