MagCAPShock,Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.25,0.01,51.0,1.0,1.0,160.63380577078317,251.4045670735432,-0.25
-0.24,0.01,51.0,1.0,1.0,160.6338057707832,251.40456427549913,-0.24
-0.23,0.01,51.0,1.0,1.0,160.63380577078314,251.40456385359116,-0.23
-0.22,0.01,51.0,1.0,1.0,160.6338057707832,251.40456329938377,-0.22
-0.21,0.01,51.0,1.0,1.0,160.6338057707832,251.4045627099577,-0.21
-0.2,0.01,51.0,1.0,1.0,160.63380577078317,251.40456208272622,-0.2
-0.19,0.01,51.0,1.0,1.0,160.63380577078323,251.40451792809003,-0.19
-0.18,0.01,51.0,1.0,1.0,160.63380577078317,251.4044548279178,-0.18
-0.17,0.01,51.0,1.0,1.0,160.63380577078317,251.40436511714802,-0.17
-0.16,0.01,51.0,1.0,1.0,160.6338057707832,251.40423794233692,-0.16
-0.15,0.01,51.0,1.0,1.0,160.6338057707832,251.4040089567212,-0.15
-0.14,0.01,51.0,1.0,1.0,160.63380577078308,251.40364347387518,-0.14
-0.13,0.01,51.0,1.0,1.0,160.63380577078314,251.4035734486626,-0.13
-0.12,0.01,51.0,1.0,1.0,160.63380577078325,251.4018424140913,-0.12
-0.11,0.01,51.0,1.0,1.0,160.6338057707832,251.39858165068836,-0.11
-0.1,0.01,51.0,1.0,1.0,160.6338057707831,251.39358358798847,-0.1
-0.09,0.01,51.0,1.0,1.0,160.6338057707831,251.38594003826316,-0.09
-0.08,0.01,51.0,1.0,1.0,160.63380577078317,251.37426290067938,-0.08
-0.07,0.01,51.0,1.0,1.0,160.63380577078323,251.35641937022558,-0.07
-0.06,0.01,51.0,1.0,1.0,160.63380577078317,251.32909896616567,-0.06
-0.05,0.01,51.0,1.0,1.0,160.63380577078314,251.32660676696815,-0.05
-0.04,0.01,51.0,1.0,1.0,160.6338057707831,251.32660676696815,-0.04
-0.03,0.01,51.0,1.0,1.0,160.6338057707832,251.32660676696815,-0.03
-0.02,0.01,51.0,1.0,1.0,160.6338057707832,251.32660676696815,-0.02
-0.01,0.01,51.0,1.0,1.0,160.6338057707832,251.32660676696815,-0.01
0.0,0.01,51.0,1.0,1.0,160.63380577078317,251.32660676696815,0.0
-1.0,0.02,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67183030763394,275.9128277744389,-1.0
-0.99,0.02,50.53319317018022,0.9908469249054945,0.8380061695711624,154.7492766376117,275.1097577672292,-0.99
-0.98,0.02,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83214486962638,274.30589837399697,-0.98
-0.97,0.02,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91519974661128,273.5010772392737,-0.97
-0.96,0.02,50.58512821131122,0.9918652590453181,0.8553666691131823,154.99843827865615,272.6950949721777,-0.96
-0.95,0.02,50.602415456499,0.9922042246372353,0.8611535022938555,155.0818575826063,271.8877215436755,-0.95
-0.94,0.02,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15959802369667,271.0786924999693,-0.94
-0.93,0.02,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24336314782335,270.26770514478557,-0.93
-0.92,0.02,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32730078480512,269.45441494599004,-0.92
-0.91,0.02,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41140828927615,268.6384325726404,-0.91
-0.9,0.02,50.688668628440475,0.9938954633027544,0.8900876681972218,155.4956830702589,267.8193221865524,-0.9
-0.89,0.02,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008077024945,266.996601923319,-0.89
-0.88,0.02,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821531551595,266.16974793426647,-0.88
-0.87,0.02,50.740274117944,0.9949073356459607,0.9074481677392415,155.74296849334718,265.33820396285046,-0.87
-0.86,0.02,50.757451523121034,0.9952441475121772,0.9132350009199148,155.82787908298562,264.50139924019396,-0.86
-0.85,0.02,50.77461669990212,0.9955807196059239,0.919021834100588,155.91294473465302,263.6587785434221,-0.85
-0.84,0.02,50.79176963416701,0.9959170516503335,0.9248086672812615,155.99816314157883,262.8098495798895,-0.84
-0.83,0.02,50.80891030836462,0.996253143301267,0.9305955004619346,156.0763781456884,261.9542543855706,-0.83
-0.82,0.02,50.826038701176174,0.9965889941407093,0.936382333642608,156.1618851052985,261.09187295847227,-0.82
-0.81,0.02,50.84315478716741,0.9969246036699492,0.9421691668232811,156.2475381051775,260.2229684211407,-0.81
