MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.16,0.01,51.0,1.0,1.0,199.20327842723418,578.5376864499657,-0.16
-0.15,0.01,51.0,1.0,1.0,200.62354265562422,601.5549612084852,-0.15
-0.14,0.01,51.0,1.0,1.0,203.36792757005213,523.1484317377073,-0.14
-0.13,0.01,51.0,1.0,1.0,204.8957496523698,526.5846604595704,-0.13
-0.12,0.01,51.0,1.0,1.0,205.8574428922121,544.3607284714094,-0.12
-0.11,0.01,51.0,1.0,1.0,206.90652690927317,566.1470761371619,-0.11
-0.1,0.01,51.0,1.0,1.0,209.229842775387,529.3466191395673,-0.1
-0.09,0.01,51.0,1.0,1.0,210.50151639545635,547.0680237958668,-0.09
-0.08,0.01,51.0,1.0,1.0,211.22131430482474,546.097956721809,-0.08
-0.07,0.01,51.0,1.0,1.0,212.60566386295315,569.1006850704579,-0.07
-0.06,0.01,51.0,1.0,1.0,213.90352405337174,524.4619697005911,-0.06
-0.05,0.01,51.0,1.0,1.0,214.87992486622448,583.30195726125,-0.05
-0.04,0.01,51.0,1.0,1.0,217.78884421451806,530.9940219770508,-0.04
-0.03,0.01,51.0,1.0,1.0,218.37444000542476,521.9535195573151,-0.03
-0.02,0.01,51.0,1.0,1.0,219.8710803408031,574.3741280145974,-0.02
-0.01,0.01,51.0,1.0,1.0,221.86331693930552,554.5762326457233,-0.01
0.0,0.01,51.0,1.0,1.0,222.6132327396203,517.9352184152391,0.0
-1.0,0.02,51.0,1.0,1.0,194.67240006041914,555.9331802638089,-1.0
-0.99,0.02,51.0,1.0,1.0,194.56743512260007,568.7282824599813,-0.99
-0.98,0.02,51.0,1.0,1.0,194.8491070484276,571.9108639518565,-0.98
-0.97,0.02,51.0,1.0,1.0,195.31095461250285,567.8427305177721,-0.97
-0.96,0.02,51.0,1.0,1.0,195.215007871329,569.564852473357,-0.96
-0.95,0.02,51.0,1.0,1.0,195.31491259774035,573.1412606711348,-0.95
-0.94,0.02,51.0,1.0,1.0,195.26030634355814,573.5799505932717,-0.94
-0.93,0.02,51.0,1.0,1.0,195.2301149451844,572.0712434060085,-0.93
-0.92,0.02,51.0,1.0,1.0,195.20474712410186,570.4928099275501,-0.92
-0.91,0.02,51.0,1.0,1.0,195.18491906134352,568.8923065001628,-0.91
-0.9,0.02,51.0,1.0,1.0,195.2271539885069,567.3962955127237,-0.9
-0.89,0.02,51.0,1.0,1.0,195.36197928029094,566.2420058953409,-0.89
-0.88,0.02,51.0,1.0,1.0,195.47400916087142,565.7486811627753,-0.88
-0.87,0.02,51.0,1.0,1.0,195.54913008821183,566.18023866744,-0.87
-0.86,0.02,51.0,1.0,1.0,195.58281919393664,567.5953448947005,-0.86
-0.85,0.02,51.0,1.0,1.0,195.5761441382779,569.8301402533747,-0.85
-0.84,0.02,51.0,1.0,1.0,195.6453462012768,568.9454054439358,-0.84
-0.83,0.02,51.0,1.0,1.0,195.84410089900112,563.4214362640796,-0.83
-0.82,0.02,51.0,1.0,1.0,196.04281553369987,557.7186227296686,-0.82
-0.81,0.02,51.0,1.0,1.0,196.24617714406895,551.6610172478221,-0.81
-0.8,0.02,51.0,1.0,1.0,196.36663170561144,545.9602797743802,-0.8
-0.79,0.02,51.0,1.0,1.0,196.33880378935933,539.220268293147,-0.79
-0.78,0.02,51.0,1.0,1.0,196.30777030192667,530.8767363750931,-0.78
