MagCAPShock,Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.79,2.0,50.91577277950217,0.9983484858725916,0.953742833184628,156.41575294329812,265.1413393495025,-0.79
-0.78,2.0,50.927217397810345,0.998572890153144,0.9595296663653011,156.5018747047095,264.2583112492774,-0.78
-0.77,2.0,50.93865591069219,0.9987971747194547,0.9653164995459741,156.5799575803702,263.3417827047253,-0.77
-0.76,2.0,50.950088273181755,0.9990213386898383,0.9711033327266476,156.66634341526233,262.36955055810887,-0.76
-0.75,2.0,50.96151443616138,0.9992453811012035,0.9768901659073207,156.7528633081088,261.3046747951237,-0.75
-0.74,2.0,50.972934346303106,0.999469300907904,0.9826769990879943,156.83951527958766,260.09198089483493,-0.74
-0.73,2.0,50.98434794608279,0.9996930969820156,0.9884638322686674,156.92629739755563,258.66772448296445,-0.73
-0.72,2.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01320778250985,257.00462585578316,-0.72
-0.71,2.0,51.0,1.0,1.0,157.0913747308574,255.19685770242816,-0.71
-0.7,2.0,51.0,1.0,1.0,157.17852284188263,253.49438499045257,-0.7
-0.69,2.0,51.0,1.0,1.0,157.26579395117912,252.13897794862385,-0.69
-0.68,2.0,51.0,1.0,1.0,157.35318650816276,251.24115924446448,-0.68
-0.67,2.0,51.0,1.0,1.0,157.44069907341606,250.7121152209208,-0.67
-0.66,2.0,51.0,1.0,1.0,157.5283303376785,250.4281971443565,-0.66
-0.65,2.0,51.0,1.0,1.0,157.61603137020256,250.29931123106752,-0.65
-0.64,2.0,51.0,1.0,1.0,157.69449670472164,250.26965158968923,-0.64
-0.63,2.0,51.0,1.0,1.0,157.78245998918737,250.3038485551053,-0.63
-0.62,2.0,51.0,1.0,1.0,157.87053879918227,250.37750975585087,-0.62
-0.61,2.0,51.0,1.0,1.0,157.95873290899698,250.47282863658853,-0.61
-0.6,2.0,51.0,1.0,1.0,158.04704239502664,250.57677748818375,-0.6
-0.59,2.0,51.0,1.0,1.0,158.1354676736946,250.68021607650658,-0.59
-0.58,2.0,51.0,1.0,1.0,158.2239404338231,250.77720610308307,-0.58
-0.57,2.0,51.0,1.0,1.0,158.30295787127105,250.86434063885798,-0.57
-0.56,2.0,51.0,1.0,1.0,158.39171327817053,250.94009580403932,-0.56
-0.55,2.0,51.0,1.0,1.0,158.48059034885597,251.00425305517055,-0.55
-0.54,2.0,51.0,1.0,1.0,158.56959145533247,251.0574252637131,-0.54
-0.53,2.0,51.0,1.0,1.0,158.65871943263465,251.10069524637413,-0.53
-0.52,2.0,51.0,1.0,1.0,158.74797759663988,251.13535768127653,-0.52
-0.51,2.0,51.0,1.0,1.0,158.83736976215934,251.16274666075628,-0.51
-0.5,2.0,51.0,1.0,1.0,158.91760261308866,251.18412909892524,-0.5
-0.49,2.0,51.0,1.0,1.0,159.00721348052357,251.20064588295733,-0.49
-0.48,2.0,51.0,1.0,1.0,159.09696255155941,251.21328584827336,-0.48
-0.47,2.0,51.0,1.0,1.0,159.18685301349515,251.22288109719216,-0.47
-0.46,2.0,51.0,1.0,1.0,159.2768883945165,251.23011525050126,-0.46
-0.45,2.0,51.0,1.0,1.0,159.36707277093126,251.2355387220756,-0.45
