FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.5,51.0,1.0,1.0,333.485669643225,395.5654990064063,-0.284
0.51,51.0,1.0,1.0,333.485669643225,395.5683955261515,-0.284
0.52,51.0,1.0,1.0,333.485669643225,395.57129185916324,-0.284
0.53,51.0,1.0,1.0,333.485669643225,395.5741880055871,-0.284
0.54,51.0,1.0,1.0,333.485669643225,395.57708396556734,-0.284
0.55,51.0,1.0,1.0,333.485669643225,395.579979739249,-0.284
0.56,51.0,1.0,1.0,333.485669643225,395.5828753267767,-0.284
0.57,51.0,1.0,1.0,333.485669643225,395.58577072829513,-0.284
0.58,51.0,1.0,1.0,333.485669643225,395.58866594394897,-0.284
0.59,51.0,1.0,1.0,333.485669643225,395.59156097388274,-0.284
0.6,51.0,1.0,1.0,333.485669643225,395.59445581824093,-0.284
0.61,51.0,1.0,1.0,333.485669643225,395.5973504771681,-0.284
0.62,51.0,1.0,1.0,333.485669643225,395.6002449508082,-0.284
0.63,51.0,1.0,1.0,333.485669643225,395.6031392393056,-0.284
0.64,51.0,1.0,1.0,333.485669643225,395.606033342805,-0.284
0.65,51.0,1.0,1.0,333.485669643225,395.6089272614503,-0.284
0.66,51.0,1.0,1.0,333.485669643225,395.6118209953853,-0.284
0.67,51.0,1.0,1.0,333.485669643225,395.6147145447543,-0.284
0.68,51.0,1.0,1.0,333.485669643225,395.6176079097012,-0.284
0.69,51.0,1.0,1.0,333.485669643225,395.62050109036966,-0.284
0.7,51.0,1.0,1.0,333.485669643225,395.62339408690406,-0.284
0.71,51.0,1.0,1.0,333.485669643225,395.62628689944785,-0.284
0.72,51.0,1.0,1.0,333.485669643225,395.6291795281447,-0.284
0.73,51.0,1.0,1.0,333.485669643225,395.6320719731382,-0.284
0.74,51.0,1.0,1.0,333.485669643225,395.634964234572,-0.284
0.75,51.0,1.0,1.0,333.485669643225,395.6378563125895,-0.284
0.76,51.0,1.0,1.0,333.485669643225,395.6407482073343,-0.284
0.77,51.0,1.0,1.0,333.485669643225,395.6436399189495,-0.284
0.78,51.0,1.0,1.0,333.485669643225,395.6465314475788,-0.284
0.79,51.0,1.0,1.0,333.485669643225,395.64942279336526,-0.284
0.8,51.0,1.0,1.0,333.485669643225,395.6523139564518,-0.284
0.81,51.0,1.0,1.0,333.485669643225,395.6552049369818,-0.284
0.82,51.0,1.0,1.0,333.485669643225,395.6580957350983,-0.284
0.83,51.0,1.0,1.0,333.485669643225,395.66098635094386,-0.284
0.84,51.0,1.0,1.0,333.485669643225,395.663876784662,-0.284
0.85,51.0,1.0,1.0,333.485669643225,395.66676703639513,-0.284
0.86,51.0,1.0,1.0,333.485669643225,395.66965710628614,-0.284
0.87,51.0,1.0,1.0,333.485669643225,395.6725469944776,-0.284
0.88,51.0,1.0,1.0,333.485669643225,395.67543670111223,-0.284
0.89,51.0,1.0,1.0,333.485669643225,395.67832622633256,-0.284
0.9,51.0,1.0,1.0,333.485669643225,395.681215570281,-0.284
0.91,51.0,1.0,1.0,333.485669643225,395.6841047331001,-0.284
0.92,51.0,1.0,1.0,333.485669643225,395.68699371493227,-0.284
0.93,51.0,1.0,1.0,333.485669643225,395.6898825159196,-0.284
0.94,51.0,1.0,1.0,333.485669643225,395.6927711362043,-0.284
0.95,51.0,1.0,1.0,333.485669643225,395.6956595759285,-0.284
0.96,51.0,1.0,1.0,333.485669643225,395.6985478352346,-0.284
0.97,51.0,1.0,1.0,333.485669643225,395.7014359142642,-0.284
0.98,51.0,1.0,1.0,333.485669643225,395.7043238131593,-0.284
0.99,51.0,1.0,1.0,333.485669643225,395.707211532062,-0.284
1.0,51.0,1.0,1.0,333.485669643225,395.71009907111386,-0.284
