MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.87,1.51,51.0,1.0,1.0,195.22188642457834,564.9376468319996,-0.87
-0.86,1.51,51.0,1.0,1.0,195.90808384653337,563.9977450917673,-0.86
-0.85,1.51,51.0,1.0,1.0,195.3224418636428,563.0547101287748,-0.85
-0.84,1.51,51.0,1.0,1.0,195.2852098139962,562.1101485342685,-0.84
-0.83,1.51,51.0,1.0,1.0,195.65354257750863,561.1644505206183,-0.83
-0.82,1.51,51.0,1.0,1.0,196.2192459611919,560.2179056670033,-0.82
-0.81,1.51,51.0,1.0,1.0,196.06145381874896,559.2556033367373,-0.81
-0.8,1.51,51.0,1.0,1.0,195.94999103041437,558.2242779256791,-0.8
-0.79,1.51,51.0,1.0,1.0,195.90984751200003,557.1621304902133,-0.79
-0.78,1.51,51.0,1.0,1.0,196.0572687964383,556.0615708142936,-0.78
-0.77,1.51,51.0,1.0,1.0,196.21135346839466,554.9145025173112,-0.77
-0.76,1.51,51.0,1.0,1.0,196.3694412113366,553.7162026659624,-0.76
-0.75,1.51,51.0,1.0,1.0,196.44361896661803,552.4672003971755,-0.75
-0.74,1.51,51.0,1.0,1.0,196.50177743958952,551.1787532285837,-0.74
-0.73,1.51,51.0,1.0,1.0,196.57608231016764,549.8870646642882,-0.73
-0.72,1.51,51.0,1.0,1.0,196.6604929352777,548.6538841520697,-0.72
-0.71,1.51,51.0,1.0,1.0,196.7437423977111,547.5716142929008,-0.71
-0.7,1.51,51.0,1.0,1.0,196.8133862515438,546.7563309329767,-0.7
-0.69,1.51,51.0,1.0,1.0,196.85879841716468,546.3266574919376,-0.69
-0.68,1.51,51.0,1.0,1.0,196.87535539670068,546.37187784115,-0.68
-0.67,1.51,51.0,1.0,1.0,196.88250477422957,546.9255207832492,-0.67
-0.66,1.51,51.0,1.0,1.0,197.06525749796512,544.5372865097615,-0.66
-0.65,1.51,51.0,1.0,1.0,197.35184462386783,540.2539525241746,-0.65
-0.64,1.51,51.0,1.0,1.0,197.45935352917033,535.8168604921518,-0.64
-0.63,1.51,51.0,1.0,1.0,197.43942307354786,531.19719259434,-0.63
-0.62,1.51,51.0,1.0,1.0,197.38974959570888,526.1586753834322,-0.62
-0.61,1.51,51.0,1.0,1.0,197.32658301910203,520.1952652213911,-0.61
-0.6,1.51,51.0,1.0,1.0,197.42289026068653,513.578935651963,-0.6
-0.59,1.51,51.0,1.0,1.0,197.5891862740068,506.063297974359,-0.59
-0.58,1.51,51.0,1.0,1.0,197.75145243399356,498.9009119444127,-0.58
-0.57,1.51,51.0,1.0,1.0,197.81682836125086,495.47015735208095,-0.57
-0.56,1.51,51.0,1.0,1.0,197.84975476350945,495.7777998687914,-0.56
-0.55,1.51,51.0,1.0,1.0,197.88206555750273,499.4757109786817,-0.55
-0.54,1.51,51.0,1.0,1.0,197.88781662752132,506.2098212921481,-0.54
-0.53,1.51,51.0,1.0,1.0,198.03196749182578,513.0493208165918,-0.53
-0.52,1.51,51.0,1.0,1.0,198.16332412419558,518.3293548564841,-0.52
-0.51,1.51,51.0,1.0,1.0,198.08594488809283,522.4541372662401,-0.51
-0.5,1.51,51.0,1.0,1.0,198.27078605159784,525.6853308453466,-0.5
-0.49,1.51,51.0,1.0,1.0,198.31374786891422,528.3983069016529,-0.49
-0.48,1.51,51.0,1.0,1.0,198.39993006548505,530.7123586101674,-0.48
-0.47,1.51,51.0,1.0,1.0,198.4711527506388,532.6852677827195,-0.47
-0.46,1.51,51.0,1.0,1.0,198.5893749912431,534.3574682826046,-0.46
-0.45,1.51,51.0,1.0,1.0,198.631070660185,536.1638361857553,-0.45
-0.44,1.51,51.0,1.0,1.0,198.72083752144027,536.0319331020744,-0.44
-0.43,1.51,51.0,1.0,1.0,198.78851292755485,534.2707789400908,-0.43
-0.42,1.51,51.0,1.0,1.0,198.85020041759768,532.4727973396288,-0.42
-0.41,1.51,51.0,1.0,1.0,198.91754332797183,530.6305204297952,-0.41
-0.4,1.51,51.0,1.0,1.0,198.9829746351982,528.7311145543675,-0.4
-0.39,1.51,51.0,1.0,1.0,199.05256496373553,526.7585058782438,-0.39
-0.38,1.51,51.0,1.0,1.0,199.12561634117574,524.7023044057271,-0.38
-0.37,1.51,51.0,1.0,1.0,199.19982049242336,522.524455307202,-0.37
-0.36,1.51,51.0,1.0,1.0,199.27467261888464,520.138196702028,-0.36
-0.35,1.51,51.0,1.0,1.0,199.34293442827695,517.4827872292846,-0.35
-0.34,1.51,51.0,1.0,1.0,199.41159689360984,514.5864294412697,-0.34
-0.33,1.51,51.0,1.0,1.0,199.48363101899346,511.3596583857284,-0.33
-0.32,1.51,51.0,1.0,1.0,199.55562017956555,507.738852548433,-0.32
-0.31,1.51,51.0,1.0,1.0,199.6212867005972,503.9205135686292,-0.31
-0.3,1.51,51.0,1.0,1.0,199.7135175461049,500.2638583984014,-0.3
-0.29,1.51,51.0,1.0,1.0,199.83141006391185,497.11868045935176,-0.29
-0.28,1.51,51.0,1.0,1.0,199.89045256871293,494.8313081607781,-0.28
-0.27,1.51,51.0,1.0,1.0,199.9778222366016,493.40343791865166,-0.27
-0.26,1.51,51.0,1.0,1.0,200.07597831628797,492.66230862047763,-0.26
-0.25,1.51,51.0,1.0,1.0,200.16312783163377,492.4838632108393,-0.25
-0.24,1.51,51.0,1.0,1.0,200.26291406998743,492.8844444984602,-0.24
