DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
2.14,51.0,1.0,1.0,160.63380577078317,267.6792526652005,-0.284
2.15,51.0,1.0,1.0,160.63380577078317,268.56300022805164,-0.284
2.16,51.0,1.0,1.0,160.63380577078317,269.43737839503376,-0.284
2.17,51.0,1.0,1.0,160.63380577078317,270.3035571414767,-0.284
2.18,51.0,1.0,1.0,160.63380577078317,271.1625108097061,-0.284
2.19,51.0,1.0,1.0,160.63380577078317,272.01505784991633,-0.284
2.2,51.0,1.0,1.0,160.63380577078317,272.84008156771523,-0.284
2.21,51.0,1.0,1.0,160.63380577078317,272.80268698844117,-0.284
2.22,51.0,1.0,1.0,160.63380577078317,272.8628494671475,-0.284
2.23,51.0,1.0,1.0,160.63380577078317,272.9198797873667,-0.284
2.24,51.0,1.0,1.0,160.63380577078317,272.9740080648321,-0.284
2.25,51.0,1.0,1.0,160.63380577078317,273.0254412251618,-0.284
2.26,51.0,1.0,1.0,160.63380577078317,273.0743659348034,-0.284
2.27,51.0,1.0,1.0,160.63380577078317,273.12095108328776,-0.284
2.28,51.0,1.0,1.0,160.63380577078317,273.1653498914686,-0.284
2.29,51.0,1.0,1.0,160.63380577078317,273.2077017063955,-0.284
2.3,51.0,1.0,1.0,160.63380577078317,273.24813353663234,-0.284
2.31,51.0,1.0,1.0,160.61880452002467,273.286761366738,-0.284
2.32,51.0,1.0,1.0,160.6006180145566,273.3236912938229,-0.284
2.33,51.0,1.0,1.0,160.58270010749567,273.3590205114976,-0.284
2.34,51.0,1.0,1.0,160.5650046792752,273.3928381771068,-0.284
2.35,51.0,1.0,1.0,160.53691677283408,273.4252261680982,-0.284
2.36,51.0,1.0,1.0,160.50704155222965,273.45625975270974,-0.284
2.37,51.0,1.0,1.0,160.48989603165322,273.4860081985817,-0.284
2.38,51.0,1.0,1.0,160.47287074493352,273.5145353058563,-0.284
2.39,51.0,1.0,1.0,160.45588405999464,273.4479833246728,-0.284
2.4,51.0,1.0,1.0,160.43909671355811,273.37666237821077,-0.284
2.41,51.0,1.0,1.0,160.42243781656285,273.30490781245413,-0.284
2.42,51.0,1.0,1.0,160.40580276259524,273.2354745924057,-0.284
2.43,51.0,1.0,1.0,160.38941800406712,273.1720451876154,-0.284
2.44,51.0,1.0,1.0,160.37296312305386,273.11933777182355,-0.284
2.45,51.0,1.0,1.0,160.35677216736732,273.0831508690038,-0.284
2.46,51.0,1.0,1.0,160.3408313596054,273.07030317027255,-0.284
2.47,51.0,1.0,1.0,160.32508006082776,273.08842645077385,-0.284
2.48,51.0,1.0,1.0,160.3094897549398,273.1455820143901,-0.284
2.49,51.0,1.0,1.0,160.29404252369062,273.24970136271895,-0.284
2.5,51.0,1.0,1.0,160.27872530748652,273.40789496380097,-0.284
