MagCAPShock,Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.42,0.0001,51.0,1.0,1.0,198.97014787581173,594.668344545526,-0.42
-0.41,0.0001,51.0,1.0,1.0,198.95248787263628,596.1361547029073,-0.41
-0.4,0.0001,51.0,1.0,1.0,199.12804780096508,594.3942700469335,-0.4
-0.39,0.0001,51.0,1.0,1.0,199.17032206617432,591.6545658857365,-0.39
-0.38,0.0001,51.0,1.0,1.0,199.26576763779525,588.0363150044773,-0.38
-0.37,0.0001,51.0,1.0,1.0,199.32912273960636,583.6960775241779,-0.37
-0.36,0.0001,51.0,1.0,1.0,199.43402764481513,578.810621484998,-0.36
-0.35,0.0001,51.0,1.0,1.0,199.5130478026637,573.5571241966037,-0.35
-0.34,0.0001,51.0,1.0,1.0,199.58215118036122,571.3383500899134,-0.34
-0.33,0.0001,51.0,1.0,1.0,199.6593571466718,569.155639791248,-0.33
-0.32,0.0001,51.0,1.0,1.0,199.7264319256246,567.0005468361588,-0.32
-0.31,0.0001,51.0,1.0,1.0,199.79152878328287,564.9320767035307,-0.31
-0.3,0.0001,51.0,1.0,1.0,199.8786928133655,562.9941672855771,-0.3
-0.29,0.0001,51.0,1.0,1.0,199.96642669095561,561.2176252463179,-0.29
-0.28,0.0001,51.0,1.0,1.0,200.05301126911314,559.6222554953195,-0.28
-0.27,0.0001,51.0,1.0,1.0,200.1262298510436,558.2190293994126,-0.27
-0.26,0.0001,51.0,1.0,1.0,200.18483049355206,557.0121805692429,-0.26
-0.25,0.0001,51.0,1.0,1.0,200.22826835106707,556.0010680850644,-0.25
-0.24,0.0001,51.0,1.0,1.0,200.2700634535465,555.1816405262848,-0.24
-0.23,0.0001,51.0,1.0,1.0,200.30981230597402,554.54743674821,-0.23
-0.22,0.0001,51.0,1.0,1.0,200.34849049464302,554.0902528067904,-0.22
-0.21,0.0001,51.0,1.0,1.0,200.37813222721212,552.7432641699149,-0.21
-0.2,0.0001,51.0,1.0,1.0,200.4078343875866,553.6139490304633,-0.2
-0.19,0.0001,51.0,1.0,1.0,200.4397813749603,554.4830059168871,-0.19
-0.18,0.0001,51.0,1.0,1.0,200.47253486234013,555.3514865646586,-0.18
-0.17,0.0001,51.0,1.0,1.0,200.50423215829386,556.2202496799554,-0.17
-0.16,0.0001,51.0,1.0,1.0,200.53570693534098,557.0899688287067,-0.16
-0.15,0.0001,51.0,1.0,1.0,201.40904553817646,582.1569855644003,-0.15
-0.14,0.0001,51.0,1.0,1.0,204.24669805601593,570.0681736157657,-0.14
-0.13,0.0001,51.0,1.0,1.0,205.93874686271494,538.5402975859238,-0.13
-0.12,0.0001,51.0,1.0,1.0,207.95739123671197,573.8468006043358,-0.12
-0.11,0.0001,51.0,1.0,1.0,207.42952994502272,567.8177778058104,-0.11
-0.1,0.0001,51.0,1.0,1.0,209.52224113237838,587.6458733903848,-0.1
-0.09,0.0001,51.0,1.0,1.0,211.50867394266155,528.3816610467104,-0.09
-0.08,0.0001,51.0,1.0,1.0,213.92327437703057,552.6679355877059,-0.08
-0.07,0.0001,51.0,1.0,1.0,213.7644765339813,564.2980794197256,-0.07
-0.06,0.0001,51.0,1.0,1.0,215.22852335778018,559.646987638044,-0.06
-0.05,0.0001,51.0,1.0,1.0,217.1771393408513,551.8184655784063,-0.05
-0.04,0.0001,51.0,1.0,1.0,212.77764757230537,591.9821827411139,-0.04
-0.03,0.0001,51.0,1.0,1.0,211.07441211891057,572.8282545972378,-0.03
-0.02,0.0001,51.0,1.0,1.0,221.36777855538048,540.4888012755378,-0.02
-0.01,0.0001,51.0,1.0,1.0,222.60180697323017,546.7123920932701,-0.01
0.0,0.0001,51.0,1.0,1.0,223.47957679690788,560.4317466947979,0.0
-1.0,0.00015,51.0,1.0,1.0,194.81946560745297,571.6282247055493,-1.0
-0.99,0.00015,51.0,1.0,1.0,194.94722743978758,570.7006038746099,-0.99
-0.98,0.00015,51.0,1.0,1.0,195.08291684844102,567.2418461189106,-0.98
-0.97,0.00015,51.0,1.0,1.0,195.23085376076395,561.0646163762177,-0.97
-0.96,0.00015,51.0,1.0,1.0,195.35112450326938,552.9998624831787,-0.96
-0.95,0.00015,51.0,1.0,1.0,195.44042202517207,541.7736449814968,-0.95
-0.94,0.00015,51.0,1.0,1.0,195.53678671227087,534.1146247063259,-0.94
-0.93,0.00015,51.0,1.0,1.0,195.73083836436564,541.6538557248679,-0.93
-0.92,0.00015,51.0,1.0,1.0,194.68278793619805,549.7820262274979,-0.92
