DSCR,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.82,1.0,1.0,0.36404324237239044,261.84665303384844,157.21078694921812,-0.284
1.83,1.0,1.0,0.36404324237239044,261.97201246184073,157.21078694921812,-0.284
1.84,1.0,1.0,0.36404324237239044,262.080444912858,157.21078694921812,-0.284
1.85,1.0,1.0,0.36404324237239044,262.17397376043857,157.21078694921812,-0.284
1.86,1.0,1.0,0.36404324237239044,262.25426862141126,157.21078694921812,-0.284
1.87,1.0,1.0,0.36404324237239044,262.32271935403867,157.21078694921812,-0.284
1.88,1.0,1.0,0.36404324237239044,262.3804912715854,157.21078694921812,-0.284
1.89,1.0,1.0,0.36404324237239044,262.4285668141506,157.21078694921812,-0.284
1.9,1.0,1.0,0.36404324237239044,262.46777716630453,157.21078694921812,-0.284
1.91,1.0,1.0,0.36404324237239044,262.49882615254506,157.21078694921812,-0.284
1.92,1.0,1.0,0.36404324237239044,262.5223079443984,157.21078694921812,-0.284
1.93,1.0,1.0,0.36404324237239044,262.5387195206897,157.21078694921812,-0.284
1.94,1.0,1.0,0.36404324237239044,262.5484683264633,157.21078694921812,-0.284
1.95,1.0,1.0,0.36404324237239044,262.55187508091575,157.21078694921812,-0.284
1.96,1.0,1.0,0.36404324237239044,262.5491710846995,157.21078694921812,-0.284
1.97,1.0,1.0,0.36404324237239044,262.5404885205163,157.21078694921812,-0.284
1.98,1.0,1.0,0.36404324237239044,262.52584086857473,157.21078694921812,-0.284
1.99,1.0,1.0,0.36404324237239044,262.5050881784497,157.21078694921812,-0.284
2.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
2.01,1.0,1.0,0.36404324237239044,262.44354072759364,157.21078694921812,-0.284
2.02,1.0,1.0,0.36404324237239044,262.40091302424366,157.21078694921812,-0.284
2.03,1.0,1.0,0.36404324237239044,262.3479999491005,157.21078694921812,-0.284
2.04,1.0,1.0,0.36404324237239044,262.28132718857904,157.21078694921812,-0.284
