FixedPropRates,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.82,1.0,1.0,0.36404324237239044,262.5841956674883,157.21078694921812,-0.284
0.83,1.0,1.0,0.36404324237239044,262.58986993356854,157.21078694921812,-0.284
0.84,1.0,1.0,0.36404324237239044,262.5955455647757,157.21078694921812,-0.284
0.85,1.0,1.0,0.36404324237239044,262.6012225681255,157.21078694921812,-0.284
0.86,1.0,1.0,0.36404324237239044,262.60690095064456,157.21078694921812,-0.284
0.87,1.0,1.0,0.36404324237239044,262.61258071937135,157.21078694921812,-0.284
0.88,1.0,1.0,0.36404324237239044,262.6182618813559,157.21078694921812,-0.284
0.89,1.0,1.0,0.36404324237239044,262.6239444436594,157.21078694921812,-0.284
0.9,1.0,1.0,0.36404324237239044,262.6296284133541,157.21078694921812,-0.284
0.91,1.0,1.0,0.36404324237239044,262.6353137975245,157.21078694921812,-0.284
0.92,1.0,1.0,0.36404324237239044,262.64100060326575,157.21078694921812,-0.284
0.93,1.0,1.0,0.36404324237239044,262.64668883768445,157.21078694921812,-0.284
0.94,1.0,1.0,0.36404324237239044,262.6523785078984,157.21078694921812,-0.284
0.95,1.0,1.0,0.36404324237239044,262.6580696210365,157.21078694921812,-0.284
0.96,1.0,1.0,0.36404324237239044,262.6637621842394,157.21078694921812,-0.284
0.97,1.0,1.0,0.36404324237239044,262.66945620465805,157.21078694921812,-0.284
0.98,1.0,1.0,0.36404324237239044,262.6751516894554,157.21078694921812,-0.284
0.99,1.0,1.0,0.36404324237239044,262.68084864580493,157.21078694921812,-0.284
1.0,1.0,1.0,0.36404324237239044,262.6865470808909,157.21078694921812,-0.284
