Goal_l,IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.01,4.0,0.9872988412522864,0.8353836181494289,0.3643830078873836,248.9352462417207,157.97229036869405,-0.56
1.01,4.0,0.9877328903127014,0.8412506425104955,0.36407178243426336,247.336211029449,158.02997347582397,-0.55
1.01,4.0,0.98817599999346,0.8471176668715619,0.3637698608886077,245.42902973231242,158.08839369297652,-0.54
1.01,4.0,0.988639061006152,0.8529846912326281,0.3634755547697835,243.1488433806574,158.1470938609695,-0.53
1.01,4.0,0.9888813700768703,0.8588517155936949,0.3632939665783564,240.2122829548203,158.16486688587494,-0.52
1.01,4.0,0.9890157098652925,0.8647187399547615,0.36317257323253344,237.58846159582757,158.16267181508366,-0.51
1.01,4.0,0.9891454129011209,0.8705386793380205,0.363062963651186,239.70443285042097,158.16071396593696,-0.5
1.01,4.0,0.9892778199870141,0.8763018454132837,0.3629589906698776,243.29649731753838,158.1587165965622,-0.49
1.01,4.0,0.9894129231530503,0.8820624130220834,0.36286614099694336,245.4281455088003,158.15685047474568,-0.48
1.01,4.0,0.9895457972920264,0.8878204265440004,0.36278978282304003,246.49119622273625,158.1551822561051,-0.47
1.01,4.0,0.9896807720743577,0.8935759316131754,0.36268386887009263,246.90935283357328,158.15371080292786,-0.46
1.01,4.0,0.9898181918597134,0.8993289751353486,0.36259494136768905,247.21743883152473,158.15243080708308,-0.45
1.01,4.0,0.990157897477335,0.9050796458890816,0.3623927190907544,247.4447818882308,158.19064040013345,-0.44
1.01,4.0,0.9907392812948573,0.9108279956173094,0.362089821031472,247.6637805943099,158.27728835969444,-0.43
1.01,4.0,0.991328304121233,0.9165740199792214,0.36178871178613653,247.8607829965002,158.36925328403797,-0.42
1.01,4.0,0.9919250966638749,0.9223177715402385,0.3614685980498789,248.0356014055302,158.4808446752051,-0.41
1.01,4.0,0.9925270575107615,0.9280593041687549,0.3612281659638854,248.18812819139666,158.5712069069782,-0.4
1.01,4.0,0.9931342354373112,0.9337986730199876,0.3609862759239429,248.31914619965679,158.66280570916436,-0.39
1.01,4.0,0.9937524766180046,0.9395359345052967,0.3607428065442451,248.43033825804338,158.7556320103853,-0.38
1.01,4.0,0.9944071466460096,0.945271146240986,0.36049522843571763,248.52387759739895,158.84951529473005,-0.37
1.01,4.0,0.9950638637865871,0.9510043669692495,0.3602438874472898,248.60243803030303,158.94464881947542,-0.36
1.01,4.0,0.9957286860265702,0.9567356564447977,0.35998925244147334,248.6685280684816,159.04109627403585,-0.35
1.01,4.0,0.9963922002337122,0.9624650752896409,0.35973265029550405,248.72459657366096,159.13889108457724,-0.34
1.01,4.0,0.9970586755521791,0.9681926848497827,0.35947529484416907,248.77294782650355,159.23805564486642,-0.33
1.01,4.0,0.9977229418889221,0.9739185471662677,0.35921809691720963,248.81556516511182,159.3386169559135,-0.32
1.01,4.0,0.9982769643852137,0.9796427253030026,0.35900042923182224,248.85362253212048,159.41902712724266,-0.31
1.01,4.0,0.9984396453019923,0.9853652842572308,0.35893061102153895,248.88709817490147,159.41937487628508,-0.3
1.01,4.0,0.9986010195051538,0.9910862917384492,0.3588667983593403,248.91430753502428,159.41998828628843,-0.29
1.01,4.0,0.99936813673576,0.994395845752128,0.35856809242442833,248.93355395032253,159.55581802857688,-0.28
1.01,4.0,0.9999399243393491,0.9985723432968785,0.358216699901011,248.94499197931913,159.72000839895898,-0.27
1.01,4.0,1.0,1.0,0.3578606132960059,248.95124002449234,159.8849986720551,-0.26
1.01,4.0,1.0,1.0,0.35749827009463314,248.95123845062562,160.05158597163944,-0.25
1.01,4.0,1.0,1.0,0.35712736052832383,248.95123578236507,160.21490422524778,-0.24
1.01,4.0,1.0,1.0,0.35674794430800816,248.95123080843874,160.37944852833803,-0.23
1.01,4.0,1.0,1.0,0.3563496111324946,248.95122283522898,160.54294261254248,-0.22
1.01,4.0,1.0,1.0,0.35609592231740456,248.95121032269932,160.6338057707832,-0.21
1.01,4.0,1.0,1.0,0.3560397644290787,248.95120383636396,160.63380577078317,-0.2
1.01,4.0,1.0,1.0,0.35599109931033146,248.95120177665953,160.63380577078323,-0.19
1.01,4.0,1.0,1.0,0.35593786905920805,248.95119918234045,160.63380577078317,-0.18
1.01,4.0,1.0,1.0,0.35588030503417983,248.95111228866529,160.63380577078317,-0.17
1.01,4.0,1.0,1.0,0.35581913691793043,248.95088703615016,160.6338057707832,-0.16
1.01,4.0,1.0,1.0,0.35574121767795197,248.95044712943584,160.6338057707832,-0.15
1.01,4.0,1.0,1.0,0.3556530384361661,248.94960537605127,160.63380577078308,-0.14
1.01,4.0,1.0,1.0,0.35556661642678017,248.94813535227755,160.63380577078314,-0.13
1.01,4.0,1.0,1.0,0.3554834646482025,248.94740549960403,160.63380577078325,-0.12
