Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.32,51.0,1.0,1.0,160.63380577078317,251.28202283310358,-0.284
0.33,51.0,1.0,1.0,160.63380577078317,251.27966121786244,-0.284
0.34,51.0,1.0,1.0,160.63380577078317,251.27736451198817,-0.284
0.35,51.0,1.0,1.0,160.63380577078317,251.27513048965145,-0.284
0.36,51.0,1.0,1.0,160.63380577078317,251.27295700910574,-0.284
0.37,51.0,1.0,1.0,160.63380577078317,251.2708420095971,-0.284
0.38,51.0,1.0,1.0,160.63380577078317,251.26878350835796,-0.284
0.39,51.0,1.0,1.0,160.63380577078317,251.26677959768588,-0.284
0.4,51.0,1.0,1.0,160.63380577078317,251.26482844210835,-0.284
0.41,51.0,1.0,1.0,160.63380577078317,251.26292827563034,-0.284
0.42,51.0,1.0,1.0,160.63380577078317,251.2610773990751,-0.284
0.43,51.0,1.0,1.0,160.63380577078317,251.25927417750339,-0.284
0.44,51.0,1.0,1.0,160.63380577078317,251.25751703772397,-0.284
0.45,51.0,1.0,1.0,160.63380577078317,251.2558044658854,-0.284
0.46,51.0,1.0,1.0,160.63380577078317,251.25413500515214,-0.284
0.47,51.0,1.0,1.0,160.63380577078317,251.2525072534631,-0.284
0.48,51.0,1.0,1.0,160.63380577078317,251.25091986137122,-0.284
0.49,51.0,1.0,1.0,160.63380577078317,251.24937152995952,-0.284
0.5,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.51,51.0,1.0,1.0,160.63380577078317,251.24638709420833,-0.284
0.52,51.0,1.0,1.0,160.63380577078317,251.244948627018,-0.284
0.53,51.0,1.0,1.0,160.63380577078317,251.24354449116387,-0.284
0.54,51.0,1.0,1.0,160.63380577078317,251.24217361178097,-0.284
0.55,51.0,1.0,1.0,160.63380577078317,251.24083495359307,-0.284
0.56,51.0,1.0,1.0,160.63380577078317,251.23952751932916,-0.284
0.57,51.0,1.0,1.0,160.63380577078317,251.23825034820007,-0.284
0.58,51.0,1.0,1.0,160.63380577078317,251.23700251444225,-0.284
0.59,51.0,1.0,1.0,160.63380577078317,251.23578312591277,-0.284
0.6,51.0,1.0,1.0,160.63380577078317,251.23459132274627,-0.284
0.61,51.0,1.0,1.0,160.63380577078317,251.233426276065,-0.284
0.62,51.0,1.0,1.0,160.63380577078317,251.23228718674372,-0.284
0.63,51.0,1.0,1.0,160.63380577078317,251.23117328421813,-0.284
0.64,51.0,1.0,1.0,160.63380577078317,251.23008382535428,-0.284
0.65,51.0,1.0,1.0,160.63380577078317,251.2290180933524,-0.284
0.66,51.0,1.0,1.0,160.63380577078317,251.22797539670606,-0.284
0.67,51.0,1.0,1.0,160.63380577078317,251.22695506819787,-0.284
0.68,51.0,1.0,1.0,160.63380577078317,251.22595646394004,-0.284
0.69,51.0,1.0,1.0,160.63380577078317,251.22497896245537,-0.284
0.7,51.0,1.0,1.0,160.63380577078317,251.22402196379494,-0.284
0.71,51.0,1.0,1.0,160.63380577078317,251.2230848886934,-0.284
0.72,51.0,1.0,1.0,160.63380577078317,251.22216717776007,-0.284
0.73,51.0,1.0,1.0,160.63380577078317,251.2212682907039,-0.284
0.74,51.0,1.0,1.0,160.63380577078317,251.22038770559007,-0.284
0.75,51.0,1.0,1.0,160.63380577078317,251.2195249181281,-0.284
0.76,51.0,1.0,1.0,160.63380577078317,251.21867944098997,-0.284
0.77,51.0,1.0,1.0,160.63380577078317,251.21785080315667,-0.284
0.78,51.0,1.0,1.0,160.63380577078317,251.2170385492928,-0.284
0.79,51.0,1.0,1.0,160.63380577078317,251.2162422391454,-0.284
0.8,51.0,1.0,1.0,160.63380577078317,251.21546144696987,-0.284
0.81,51.0,1.0,1.0,160.63380577078317,251.21469576097894,-0.284
0.82,51.0,1.0,1.0,160.63380577078317,251.21394478281485,-0.284
0.83,51.0,1.0,1.0,160.63380577078317,251.21320812704184,-0.284
0.84,51.0,1.0,1.0,160.63380577078317,251.21248542066272,-0.284
0.85,51.0,1.0,1.0,160.63380577078317,251.2117763026542,-0.284
0.86,51.0,1.0,1.0,160.63380577078317,251.21108042351864,-0.284
0.87,51.0,1.0,1.0,160.63380577078317,251.21039744485856,-0.284
0.88,51.0,1.0,1.0,160.63380577078317,251.20972703896754,-0.284
0.89,51.0,1.0,1.0,160.63380577078317,251.20906888843442,-0.284
0.9,51.0,1.0,1.0,160.63380577078317,251.20842268576888,-0.284
0.91,51.0,1.0,1.0,160.63380577078317,251.20778813303835,-0.284
0.92,51.0,1.0,1.0,160.63380577078317,251.2071649415221,-0.284
0.93,51.0,1.0,1.0,160.63380577078317,251.20655283137745,-0.284
0.94,51.0,1.0,1.0,160.63380577078317,251.20595153132064,-0.284
0.95,51.0,1.0,1.0,160.63380577078317,251.2053607783219,-0.284
