MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.48,0.0,51.0,1.0,1.0,159.10502564196182,251.38916341553323,-0.48
-0.47,0.0,51.0,1.0,1.0,159.19476029660453,251.3969139131757,-0.47
-0.46,0.0,51.0,1.0,1.0,159.28461343529221,251.4027252281296,-0.46
-0.45,0.0,51.0,1.0,1.0,159.3745821938963,251.40705959522325,-0.45
-0.44,0.0,51.0,1.0,1.0,159.46466383094395,251.41027930372994,-0.44
-0.43,0.0,51.0,1.0,1.0,159.55482191238914,251.41266433223768,-0.43
-0.42,0.0,51.0,1.0,1.0,159.64232065068379,251.41442835129052,-0.42
-0.41,0.0,51.0,1.0,1.0,159.73139308471562,251.41573262507134,-0.41
-0.4,0.0,51.0,1.0,1.0,159.82041430813396,251.4166595097363,-0.4
-0.39,0.0,51.0,1.0,1.0,159.90940370148698,251.4166580239371,-0.39
-0.38,0.0,51.0,1.0,1.0,159.99841099542607,251.41665661889223,-0.38
-0.37,0.0,51.0,1.0,1.0,160.0875439778292,251.4166553055091,-0.37
-0.36,0.0,51.0,1.0,1.0,160.17704640284134,251.41665409331398,-0.36
-0.35,0.0,51.0,1.0,1.0,160.26770295148387,251.41665297863148,-0.35
-0.34,0.0,51.0,1.0,1.0,160.3465259770447,251.41665274288815,-0.34
-0.33,0.0,51.0,1.0,1.0,160.4181333681921,251.4166527524182,-0.33
-0.32,0.0,51.0,1.0,1.0,160.50332350940892,251.41665274899765,-0.32
-0.31,0.0,51.0,1.0,1.0,160.58938681991935,251.41665274511166,-0.31
-0.3,0.0,51.0,1.0,1.0,160.63380577078317,251.4166527409638,-0.3
-0.29,0.0,51.0,1.0,1.0,160.6338057707831,251.41665273653635,-0.29
-0.28,0.0,51.0,1.0,1.0,160.63380577078317,251.41665273129826,-0.28
-0.27,0.0,51.0,1.0,1.0,160.63380577078314,251.41665174649174,-0.27
-0.26,0.0,51.0,1.0,1.0,160.6338057707832,251.416650266322,-0.26
-0.25,0.0,51.0,1.0,1.0,160.63380577078317,251.41664805115576,-0.25
-0.24,0.0,51.0,1.0,1.0,160.6338057707832,251.41664502642058,-0.24
-0.23,0.0,51.0,1.0,1.0,160.63380577078314,251.41664456918195,-0.23
-0.22,0.0,51.0,1.0,1.0,160.6338057707832,251.4166439684229,-0.22
-0.21,0.0,51.0,1.0,1.0,160.6338057707832,251.41664332930392,-0.21
-0.2,0.0,51.0,1.0,1.0,160.63380577078317,251.4166395664834,-0.2
-0.19,0.0,51.0,1.0,1.0,160.63380577078323,251.41659197973172,-0.19
-0.18,0.0,51.0,1.0,1.0,160.63380577078317,251.41652415891957,-0.18
-0.17,0.0,51.0,1.0,1.0,160.63380577078317,251.41642778384406,-0.17
-0.16,0.0,51.0,1.0,1.0,160.6338057707832,251.41629122078547,-0.16
