MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.11,0.0,51.0,1.0,1.0,207.1924046892173,550.4751198036635,-0.11
-0.1,0.0,51.0,1.0,1.0,209.23014756965244,518.4531667443747,-0.1
-0.09,0.0,51.0,1.0,1.0,210.5543001335301,527.7704628970254,-0.09
-0.08,0.0,51.0,1.0,1.0,211.40656059402374,546.5871178972442,-0.08
-0.07,0.0,51.0,1.0,1.0,212.60885277807148,563.2914438314768,-0.07
-0.06,0.0,51.0,1.0,1.0,214.2548719231614,520.0526355659888,-0.06
-0.05,0.0,51.0,1.0,1.0,216.45242057568657,583.2382355221972,-0.05
-0.04,0.0,51.0,1.0,1.0,217.6894832982417,517.8285383569649,-0.04
-0.03,0.0,51.0,1.0,1.0,218.37388754890213,510.32961967490064,-0.03
-0.02,0.0,51.0,1.0,1.0,219.86224889412568,570.5837951114347,-0.02
-0.01,0.0,51.0,1.0,1.0,221.60494990875875,548.1060038257154,-0.01
0.0,0.0,51.0,1.0,1.0,222.6081802178517,513.0293979352664,0.0
-1.0,0.01,51.0,1.0,1.0,194.6724010330816,545.0306280460159,-1.0
-0.99,0.01,51.0,1.0,1.0,194.56743357743346,558.104370215572,-0.99
-0.98,0.01,51.0,1.0,1.0,194.7413070552098,565.4021963529844,-0.98
-0.97,0.01,51.0,1.0,1.0,195.08042540671485,564.7054752194257,-0.97
-0.96,0.01,51.0,1.0,1.0,195.27781355707148,567.9580899651642,-0.96
-0.95,0.01,51.0,1.0,1.0,195.2436848979191,571.3792522388493,-0.95
-0.94,0.01,51.0,1.0,1.0,195.16359532870615,573.8862858516418,-0.94
-0.93,0.01,51.0,1.0,1.0,195.12460832324973,572.5871273142737,-0.93
-0.92,0.01,51.0,1.0,1.0,195.09032316163444,571.2375179272167,-0.92
-0.91,0.01,51.0,1.0,1.0,195.0627464629212,569.8177828043039,-0.91
-0.9,0.01,51.0,1.0,1.0,195.04427785713347,568.3098762924477,-0.9
-0.89,0.01,51.0,1.0,1.0,195.1363668204565,566.7126641121506,-0.89
-0.88,0.01,51.0,1.0,1.0,195.2788212137972,565.0753522028183,-0.88
-0.87,0.01,51.0,1.0,1.0,195.41316819822984,563.5466128279373,-0.87
-0.86,0.01,51.0,1.0,1.0,195.52838171583477,562.415597834158,-0.86
-0.85,0.01,51.0,1.0,1.0,195.60980812489157,562.0701893769927,-0.85
-0.84,0.01,51.0,1.0,1.0,195.66783494024298,562.8236985352806,-0.84
-0.83,0.01,51.0,1.0,1.0,195.78134732460705,559.4795028163103,-0.83
-0.82,0.01,51.0,1.0,1.0,195.9815430054071,553.6696560772895,-0.82
-0.81,0.01,51.0,1.0,1.0,196.18096581572235,547.6438100384324,-0.81
-0.8,0.01,51.0,1.0,1.0,196.38538521975596,541.224336780423,-0.8
-0.79,0.01,51.0,1.0,1.0,196.38065181416044,534.991001604981,-0.79
-0.78,0.01,51.0,1.0,1.0,196.34757039939524,528.4601667280821,-0.78
-0.77,0.01,51.0,1.0,1.0,196.31150778002828,520.1618785171038,-0.77
-0.76,0.01,51.0,1.0,1.0,196.25315998438185,513.9855357746895,-0.76
-0.75,0.01,51.0,1.0,1.0,196.27120150418702,518.375125258782,-0.75
-0.74,0.01,51.0,1.0,1.0,196.51010494914178,525.458935660416,-0.74
-0.73,0.01,51.0,1.0,1.0,196.50523015882158,532.2321625618063,-0.73
-0.72,0.01,51.0,1.0,1.0,196.57944203638462,539.2666236976755,-0.72
-0.71,0.01,51.0,1.0,1.0,196.58823138755423,547.2775700430749,-0.71
-0.7,0.01,51.0,1.0,1.0,196.74646247947686,562.6672307592692,-0.7
-0.69,0.01,51.0,1.0,1.0,196.83940113688234,575.3909443378886,-0.69
-0.68,0.01,51.0,1.0,1.0,196.98553390667485,584.1406030300037,-0.68
-0.67,0.01,51.0,1.0,1.0,196.9880802453496,583.3554342123634,-0.67
-0.66,0.01,51.0,1.0,1.0,197.032891947778,577.5365352326776,-0.66
-0.65,0.01,51.0,1.0,1.0,197.09356994044586,575.3874172666884,-0.65
-0.64,0.01,51.0,1.0,1.0,197.20302638186988,579.2312407016913,-0.64
-0.63,0.01,51.0,1.0,1.0,197.2125155619337,583.0538385862228,-0.63
-0.62,0.01,51.0,1.0,1.0,197.43483420928337,586.8500604088955,-0.62
-0.61,0.01,51.0,1.0,1.0,197.61948536829766,590.6110770955728,-0.61
-0.6,0.01,51.0,1.0,1.0,197.55159695765929,590.7083009590581,-0.6
-0.59,0.01,51.0,1.0,1.0,197.5139783208621,588.636245672792,-0.59
-0.58,0.01,51.0,1.0,1.0,197.50394628767387,585.6622628193667,-0.58
-0.57,0.01,51.0,1.0,1.0,197.515282698319,581.9858999087285,-0.57
-0.56,0.01,51.0,1.0,1.0,197.54074891818547,577.8257021085635,-0.56
-0.55,0.01,51.0,1.0,1.0,197.57075336072583,573.3958685762424,-0.55
-0.54,0.01,51.0,1.0,1.0,197.6173452801895,568.8885167334107,-0.54
-0.53,0.01,51.0,1.0,1.0,197.6673523140093,564.4647042063572,-0.53
-0.52,0.01,51.0,1.0,1.0,197.71238224031168,560.2528165248145,-0.52
-0.51,0.01,51.0,1.0,1.0,197.77249372827617,556.3512864442818,-0.51
