MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.72,1.0,50.6313081114965,0.9927707472842451,0.878741074629124,293.3585740134358,423.9533341407549,-0.72
-0.71,1.0,50.66051788982204,0.9933434880357263,0.8895166209515638,292.2091985830878,421.5975055842191,-0.71
-0.7,1.0,50.68970764959087,0.9939158362664877,0.9002921672740035,297.57896852234956,419.25595852168055,-0.7
-0.69,1.0,50.71897494330956,0.9944897047707757,0.9110677135964433,301.2516631235425,416.95371086588267,-0.69
-0.68,1.0,50.74845360644798,0.9950677177734898,0.9218432599188828,315.6925772519718,414.72842498655046,-0.68
-0.67,1.0,50.7783190235521,0.9956533141872961,0.9326188062413228,330.9153519264381,412.615690703543,-0.67
-0.66,1.0,50.808793010259144,0.9962508433384146,0.9433943525637623,331.2783979731914,410.63327452105483,-0.66
-0.65,1.0,50.84014837110146,0.9968656543353228,0.9541698988862024,331.6444847319517,408.74142843320175,-0.65
-0.64,1.0,50.872714689467664,0.9975042095974052,0.9649454452086419,332.0140997638426,406.7454655987434,-0.64
-0.63,1.0,50.906891389028246,0.9981743409613382,0.9754749913740478,332.38798346478325,404.0716322937743,-0.63
-0.62,1.0,50.94319594906784,0.9988861950797616,0.9854328982847762,332.7674431732493,399.64101843950334,-0.62
-0.61,1.0,50.98240914987008,0.9996550813700016,0.9954220290841514,333.15548518227007,394.8027223595807,-0.61
-0.6,1.0,51.0,1.0,1.0,333.48566964322487,395.2140268322781,-0.6
-0.59,1.0,51.0,1.0,1.0,333.48566964322487,395.7290279013712,-0.59
-0.58,1.0,51.0,1.0,1.0,333.4856696432249,395.75636478351703,-0.58
-0.57,1.0,51.0,1.0,1.0,333.48566964322504,395.75636478351703,-0.57
-0.56,1.0,51.0,1.0,1.0,333.48566964322464,395.75636478351703,-0.56
-0.55,1.0,51.0,1.0,1.0,333.4856696432248,395.75636478351703,-0.55
-0.54,1.0,51.0,1.0,1.0,333.485669643225,395.75636478351703,-0.54
-0.53,1.0,51.0,1.0,1.0,333.48566964322475,395.75636478351703,-0.53
-0.52,1.0,51.0,1.0,1.0,333.48566964322487,395.75636478351703,-0.52
-0.51,1.0,51.0,1.0,1.0,333.4856696432249,395.75636478351703,-0.51
-0.5,1.0,51.0,1.0,1.0,333.48566964322487,395.75636478351703,-0.5
-0.49,1.0,51.0,1.0,1.0,333.48566964322464,395.75636478351703,-0.49
-0.48,1.0,51.0,1.0,1.0,333.48566964322504,395.75636478351703,-0.48
-0.47,1.0,51.0,1.0,1.0,333.48566964322487,395.75636478351703,-0.47
-0.46,1.0,51.0,1.0,1.0,333.485669643225,395.75636478351703,-0.46
-0.45,1.0,51.0,1.0,1.0,333.48566964322487,395.75636478351703,-0.45
-0.44,1.0,51.0,1.0,1.0,333.48566964322487,395.75636478351703,-0.44
-0.43,1.0,51.0,1.0,1.0,333.48566964322475,395.75636478351703,-0.43
-0.42,1.0,51.0,1.0,1.0,333.48566964322475,395.7548020868219,-0.42
-0.41,1.0,51.0,1.0,1.0,333.4856696432248,395.74108289928694,-0.41
-0.4,1.0,51.0,1.0,1.0,333.4856696432248,395.72708109689006,-0.4
-0.39,1.0,51.0,1.0,1.0,333.4856696432249,395.7127981871993,-0.39
