MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.17,4.340878170264604,51.0,1.0,1.0,201.18098374132418,464.0199714214413,-0.17
-0.16,4.340878170264604,51.0,1.0,1.0,201.21450181636374,463.4843537212404,-0.16
-0.15,4.340878170264604,51.0,1.0,1.0,201.92213566109987,460.538044792755,-0.15
-0.14,4.340878170264604,51.0,1.0,1.0,204.1801153955354,475.38614202781775,-0.14
-0.13,4.340878170264604,51.0,1.0,1.0,204.30975041126993,481.0165430092737,-0.13
-0.12,4.340878170264604,51.0,1.0,1.0,205.74058097929688,513.2535076955575,-0.12
-0.11,4.340878170264604,51.0,1.0,1.0,208.2327251897591,460.1229082771951,-0.11
-0.1,4.340878170264604,51.0,1.0,1.0,208.94268210544942,516.1121778724831,-0.1
-0.09,4.340878170264604,51.0,1.0,1.0,210.76145785168868,455.0738631608659,-0.09
-0.08,4.340878170264604,51.0,1.0,1.0,211.01705857976563,493.1544139922347,-0.08
-0.07,4.340878170264604,51.0,1.0,1.0,212.792161361393,503.30063202066333,-0.07
-0.06,4.340878170264604,51.0,1.0,1.0,214.16938329177907,513.0818023244004,-0.06
-0.05,4.340878170264604,51.0,1.0,1.0,210.83573076191,499.07150512418957,-0.05
-0.04,4.340878170264604,51.0,1.0,1.0,216.89762856186067,495.24069884430634,-0.04
-0.03,4.340878170264604,51.0,1.0,1.0,218.0632129853303,510.40225750481494,-0.03
-0.02,4.340878170264604,51.0,1.0,1.0,219.48769566647107,499.75964463988817,-0.02
-0.01,4.340878170264604,51.0,1.0,1.0,221.47280142782174,493.35019010207714,-0.01
0.0,4.340878170264604,51.0,1.0,1.0,223.08352362183493,499.9492537543534,0.0
-1.0,4.710805822269944,51.0,1.0,1.0,195.4391795095838,509.84743237363074,-1.0
-0.99,4.710805822269944,51.0,1.0,1.0,195.4779527317178,509.9913067662987,-0.99
-0.98,4.710805822269944,51.0,1.0,1.0,195.48510529467293,510.30549665598625,-0.98
-0.97,4.710805822269944,51.0,1.0,1.0,195.4803143411247,510.82279593465296,-0.97
-0.96,4.710805822269944,51.0,1.0,1.0,195.56735246271347,511.7393845452475,-0.96
-0.95,4.710805822269944,51.0,1.0,1.0,195.7223957711138,513.5982688444049,-0.95
-0.94,4.710805822269944,51.0,1.0,1.0,195.80972135245966,515.3487167827417,-0.94
-0.93,4.710805822269944,51.0,1.0,1.0,195.8977451368522,516.9915639699591,-0.93
-0.92,4.710805822269944,51.0,1.0,1.0,195.9864477454934,518.5294979353555,-0.92
-0.91,4.710805822269944,51.0,1.0,1.0,196.07535284778132,519.9440978263435,-0.91
-0.9,4.710805822269944,51.0,1.0,1.0,196.1612459960099,520.3643239152998,-0.9
-0.89,4.710805822269944,51.0,1.0,1.0,196.26232296641246,520.7552874092165,-0.89
-0.88,4.710805822269944,51.0,1.0,1.0,196.32592618651015,521.1846436958789,-0.88
-0.87,4.710805822269944,51.0,1.0,1.0,196.3491346443962,521.6864975032867,-0.87
-0.86,4.710805822269944,51.0,1.0,1.0,196.3723617989448,522.2924922732284,-0.86
-0.85,4.710805822269944,51.0,1.0,1.0,196.39443693460456,523.0250915957554,-0.85
-0.84,4.710805822269944,51.0,1.0,1.0,196.56620555178935,524.3085348378078,-0.84
-0.83,4.710805822269944,51.0,1.0,1.0,196.71548154163196,525.6123749046426,-0.83
