MagCAPShock,Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.67,0.01,51.0,1.0,1.0,163.4861749512667,593.0395871138479,-0.67
-0.66,0.01,51.0,1.0,1.0,163.55742361667222,592.4874291142755,-0.66
-0.65,0.01,51.0,1.0,1.0,163.60451968235714,591.9398435331306,-0.65
-0.64,0.01,51.0,1.0,1.0,163.63329137770364,591.3963040844676,-0.64
-0.63,0.01,51.0,1.0,1.0,163.70178646149296,590.8557784789391,-0.63
-0.62,0.01,51.0,1.0,1.0,163.76952736704519,590.3169402508057,-0.62
-0.61,0.01,51.0,1.0,1.0,163.83660782759944,589.7782999802747,-0.61
-0.6,0.01,51.0,1.0,1.0,163.90204359635794,589.238283040093,-0.6
-0.59,0.01,51.0,1.0,1.0,163.9648961091167,588.6952767426191,-0.59
-0.58,0.01,51.0,1.0,1.0,164.02950124190286,588.1477443339069,-0.58
-0.57,0.01,51.0,1.0,1.0,164.09297509784932,587.5940290442899,-0.57
-0.56,0.01,51.0,1.0,1.0,164.15449083618432,587.0325410625895,-0.56
-0.55,0.01,51.0,1.0,1.0,164.2149288211181,586.4618178707806,-0.55
-0.54,0.01,51.0,1.0,1.0,164.27473856592343,585.8805670204391,-0.54
-0.53,0.01,51.0,1.0,1.0,164.35212261018032,585.2877723617111,-0.53
-0.52,0.01,51.0,1.0,1.0,164.45359535561983,584.682845391168,-0.52
-0.51,0.01,51.0,1.0,1.0,164.51715968021426,582.6859064068286,-0.51
-0.5,0.01,51.0,1.0,1.0,164.5289251628787,578.5278565834976,-0.5
-0.49,0.01,51.0,1.0,1.0,164.59942291147541,574.3129631879603,-0.49
-0.48,0.01,51.0,1.0,1.0,164.6675607482343,570.2380536041925,-0.48
-0.47,0.01,51.0,1.0,1.0,164.7318066913157,566.6754142204289,-0.47
-0.46,0.01,51.0,1.0,1.0,164.79232379839098,564.1627739791126,-0.46
-0.45,0.01,51.0,1.0,1.0,164.85257748069827,563.1955729212683,-0.45
-0.44,0.01,51.0,1.0,1.0,164.91768107599898,563.1503586723653,-0.44
-0.43,0.01,51.0,1.0,1.0,164.98275263466877,563.3558830963033,-0.43
-0.42,0.01,51.0,1.0,1.0,165.04778731518033,563.810891127382,-0.42
-0.41,0.01,51.0,1.0,1.0,165.11278058671078,564.5015370013392,-0.41
-0.4,0.01,51.0,1.0,1.0,165.1776184893475,565.4034257587275,-0.4
-0.39,0.01,51.0,1.0,1.0,165.24198120719063,566.4851109094319,-0.39
-0.38,0.01,51.0,1.0,1.0,165.3063171568905,567.712159678936,-0.38
-0.37,0.01,51.0,1.0,1.0,165.37062461628167,569.050869114179,-0.37
-0.36,0.01,51.0,1.0,1.0,165.43490197575795,570.4710070256587,-0.36
-0.35,0.01,51.0,1.0,1.0,165.49914773078723,571.9473676640184,-0.35
-0.34,0.01,51.0,1.0,1.0,165.5630402324144,573.4602738120549,-0.34
-0.33,0.01,51.0,1.0,1.0,165.626608771371,574.9953167552926,-0.33
-0.32,0.01,51.0,1.0,1.0,165.69015110628405,576.5426709694603,-0.32
-0.31,0.01,51.0,1.0,1.0,165.75366499251723,578.0962336218187,-0.31
-0.3,0.01,51.0,1.0,1.0,165.81714799585146,579.6527552848424,-0.3
-0.29,0.01,51.0,1.0,1.0,165.880597475943,581.2110636811997,-0.29
-0.28,0.01,51.0,1.0,1.0,165.94401056911352,582.7714175497023,-0.28
-0.27,0.01,51.0,1.0,1.0,166.00738417083463,584.3292039178393,-0.27
-0.26,0.01,51.0,1.0,1.0,166.07035472397038,585.8882752100145,-0.26
-0.25,0.01,51.0,1.0,1.0,166.13526042905733,586.3731103204873,-0.25
-0.24,0.01,51.0,1.0,1.0,166.19986106286257,586.7329438714216,-0.24
-0.23,0.01,51.0,1.0,1.0,166.26393424226586,587.098015118414,-0.23
-0.22,0.01,51.0,1.0,1.0,166.32688848119145,587.4684652653823,-0.22
-0.21,0.01,51.0,1.0,1.0,166.38918229432772,587.844341361592,-0.21
-0.2,0.01,51.0,1.0,1.0,166.4506506862399,588.2257261434231,-0.2
-0.19,0.01,51.0,1.0,1.0,166.5117577405881,588.6126708041435,-0.19
-0.18,0.01,51.0,1.0,1.0,166.58074399385498,589.0051832024118,-0.18
-0.17,0.01,51.0,1.0,1.0,166.65096811006768,589.403215339416,-0.17
-0.16,0.01,51.0,1.0,1.0,166.7625759573132,589.8063511863057,-0.16
