MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.15,0.025,51.0,1.0,1.0,333.48566964322475,390.9600958888002,-0.15
-0.14,0.025,51.0,1.0,1.0,333.485669643225,391.23370558769767,-0.14
-0.13,0.025,51.0,1.0,1.0,333.4856696432248,391.5073082417191,-0.13
-0.12,0.025,51.0,1.0,1.0,333.485669643225,391.7809320505504,-0.12
-0.11,0.025,51.0,1.0,1.0,333.48566964322487,392.0545825967397,-0.11
-0.1,0.025,51.0,1.0,1.0,333.48566964322475,392.3282593677525,-0.1
-0.09,0.025,51.0,1.0,1.0,333.48566964322464,392.6019604085926,-0.09
-0.08,0.025,51.0,1.0,1.0,333.4856696432249,392.8756836801158,-0.08
-0.07,0.025,51.0,1.0,1.0,333.48566964322464,393.14942742439075,-0.07
-0.06,0.025,51.0,1.0,1.0,333.48566964322475,393.42319022251326,-0.06
-0.05,0.025,51.0,1.0,1.0,333.48566964322487,393.4689833561778,-0.05
-0.04,0.025,51.0,1.0,1.0,333.485669643225,393.4689833561779,-0.04
-0.03,0.025,51.0,1.0,1.0,333.48566964322487,393.4689833561776,-0.03
-0.02,0.025,51.0,1.0,1.0,333.48566964322487,393.46898335617755,-0.02
-0.01,0.025,51.0,1.0,1.0,333.4856696432248,393.46898335617755,-0.01
0.0,0.025,51.0,1.0,1.0,333.48566964322487,393.4689833561777,0.0
-1.0,0.03,49.543531166600545,0.9714417875804028,0.5770257776008105,136.24849101023142,554.943212821731,-1.0
-0.99,0.03,49.586221288177356,0.9722788487877912,0.5878013239232502,133.11580925871834,549.0471983804097,-0.99
-0.98,0.03,49.62924078857053,0.9731223684033437,0.5985768702456901,146.06195349974692,533.6977434484802,-0.98
-0.97,0.03,49.67234682653043,0.97396758483393,0.6093524165681298,136.91149970105408,568.4730273555072,-0.97
-0.96,0.03,49.715420810699825,0.9748121727588202,0.6201279628905696,172.8555774121948,528.1565747958998,-0.96
-0.95,0.03,49.7584639655108,0.9756561561864863,0.6309035092130094,166.28734315767278,525.3499484376028,-0.95
-0.94,0.03,49.8014782766444,0.9764995740518511,0.6416790555354492,154.06237041023854,523.1546577423273,-0.94
-0.93,0.03,49.8444666575094,0.9773424834805765,0.6524546018578891,177.7727037978554,522.1602372358252,-0.93
-0.92,0.03,49.88752673988583,0.9781867988212908,0.6632301481803288,170.42073009882046,541.9233796532848,-0.92
-0.91,0.03,49.93055792179426,0.979030547486162,0.6740056945027683,206.1563732725355,521.2676632714376,-0.91
-0.9,0.03,49.973564867932794,0.9798738209398588,0.6847812408252083,199.3315486162126,519.6246164509911,-0.9
-0.89,0.03,50.01655701944756,0.9807168043028933,0.6955567871476477,220.77234881360613,521.4225604478147,-0.89
-0.88,0.03,50.0595845825401,0.9815604820105901,0.7063323334700877,210.3531640418385,522.0487371671776,-0.88
-0.87,0.03,50.10302286250962,0.9824122129903847,0.7171078797925272,216.46040570466886,523.4116453256387,-0.87
-0.86,0.03,50.14856641090657,0.983305223743266,0.7278834261149674,219.79576043053103,521.1392557295848,-0.86
-0.85,0.03,50.19113496820033,0.9841399013372614,0.7386589724374069,228.2931538698072,515.6477300491863,-0.85
-0.84,0.03,50.233423554674204,0.9849690893073373,0.7494345187598469,235.77517076454933,511.67372683539435,-0.84
-0.83,0.03,50.2756602725922,0.9857972602469058,0.7602100650822865,240.7714837508472,508.39034522330104,-0.83
-0.82,0.03,50.317871021193824,0.9866249219841926,0.7709856114047264,245.78889121583066,505.31343079500436,-0.82
-0.81,0.03,50.360075133664424,0.9874524536012632,0.781761157727166,255.2173204262158,502.38642502367213,-0.81
-0.8,0.03,50.402220356447636,0.9882788305185811,0.7925367040496057,276.46911366131576,499.5160478046708,-0.8
-0.79,0.03,50.44015988673553,0.9890227428771672,0.8033122503720457,273.2562921716968,496.9097328450272,-0.79
-0.78,0.03,50.47235749566701,0.9896540685424904,0.8140877966944855,280.35460823171263,494.96394073828594,-0.78
-0.77,0.03,50.504525691588356,0.9902848174821246,0.8248633430169251,283.18363197649523,493.1866125896625,-0.77
-0.76,0.03,50.53666369073052,0.9909149743280494,0.835638889339365,284.39172915514774,490.58355405675485,-0.76
-0.75,0.03,50.568770673334264,0.9915445230065542,0.8464144356618047,288.2637476444333,487.6400414518482,-0.75
-0.74,0.03,50.60084582283704,0.9921734475066085,0.8571899819842447,289.440234141619,484.6592997282064,-0.74
-0.73,0.03,50.63288838432691,0.9928017330260178,0.867965528306684,289.64977826290016,481.63573510760847,-0.73
-0.72,0.03,50.664897746664565,0.9934293675816581,0.878741074629124,293.16170775670895,478.56291528218856,-0.72
-0.71,0.03,50.69687355341479,0.9940563441846038,0.8895166209515638,295.8644773568802,475.43465925147854,-0.71
-0.7,0.03,50.72881584826594,0.9946826636914889,0.9002921672740035,296.08650039149416,472.2482606573695,-0.7
-0.69,0.03,50.76072526407391,0.9953083385112532,0.9110677135964433,296.52705635129365,469.0116437156264,-0.69
-0.68,0.03,50.79260328281869,0.9959333977023272,0.9218432599188828,307.4812642811021,465.75777076442097,-0.68
-0.67,0.03,50.824452671122955,0.9965578955122149,0.9326188062413228,325.654243080777,462.5324801387865,-0.67
-0.66,0.03,50.856278496491015,0.9971819313037454,0.9433943525637623,325.9597347833947,459.46725423341195,-0.66
-0.65,0.03,50.888091242720485,0.9978057106415781,0.9541698988862024,326.2696895884344,456.8145404061073,-0.65
-0.64,0.03,50.91991746276856,0.9984297541719326,0.9649454452086419,326.5863596401848,454.81773258341553,-0.64
-0.63,0.03,50.95183559748368,0.9990555999506604,0.9757209915310822,326.91645571097825,453.91028543117335,-0.63
-0.62,0.03,50.9840780777396,0.9996878054458745,0.9864965378535215,327.2785321429381,454.55514707210506,-0.62
