IF_sens_r,IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
16.064207001339426,0.06,51.0,1.0,1.0,160.63380577078317,253.95757962856047,-0.284
17.43319137368153,0.06,51.0,1.0,1.0,160.63380577078317,255.14718489862665,-0.284
18.918839968014844,0.06,51.0,1.0,1.0,160.63380577078317,256.04176773084214,-0.284
20.531094855971272,0.06,51.0,1.0,1.0,160.63380577078317,256.7194232222552,-0.284
22.280745367979403,0.06,51.0,1.0,1.0,160.63380577078317,257.2344802688356,-0.284
24.179500296271495,0.06,51.0,1.0,1.0,160.63380577078317,257.6254600009507,-0.284
26.240066250997867,0.06,51.0,1.0,1.0,160.63380577078317,257.92089436900676,-0.284
28.476232693813404,0.06,51.0,1.0,1.0,160.63380577078317,258.14262879210094,-0.284
30.902964217987456,0.06,51.0,1.0,1.0,160.63380577078317,258.3076915947897,-0.284
33.53650069258248,0.06,51.0,1.0,1.0,160.63380577078317,258.4294394778777,-0.284
36.394465940873765,0.06,51.0,1.0,1.0,160.63380577078317,258.51833598541583,-0.284
39.495985680294396,0.06,51.0,1.0,1.0,160.63380577078317,258.5825321448214,-0.284
42.86181551316834,0.06,51.0,1.0,1.0,160.63380577078317,258.6283281328719,-0.284
46.5144798247553,0.06,51.0,1.0,1.0,160.63380577078317,258.6605521979627,-0.284
50.47842251812341,0.06,51.0,1.0,1.0,160.63380577078317,258.6828735726431,-0.284
54.780170594578784,0.06,51.0,1.0,1.0,160.63380577078317,258.6980581998098,-0.284
59.44851167434448,0.06,51.0,1.0,1.0,160.63380577078317,258.70817393353394,-0.284
64.51468664547063,0.06,51.0,1.0,1.0,160.63380577078317,258.71475213234,-0.284
70.01259873019619,0.06,51.0,1.0,1.0,160.63380577078317,258.7189132446375,-0.284
75.97904036785103,0.06,51.0,1.0,1.0,160.63380577078317,258.7214640536242,-0.284
82.45393943261438,0.06,51.0,1.0,1.0,160.63380577078317,258.72297342848816,-0.284
89.48062643383894,0.06,51.0,1.0,1.0,160.63380577078317,258.72383197352724,-0.284
97.1061244870633,0.06,51.0,1.0,1.0,160.63380577078317,258.72429935397844,-0.284
105.38146399622259,0.06,51.0,1.0,1.0,160.63380577078317,258.7245417307127,-0.284
114.36202415293195,0.06,51.0,1.0,1.0,160.63380577078317,258.7246608677221,-0.284
124.10790353818399,0.06,51.0,1.0,1.0,160.63380577078317,258.72471607369135,-0.284
134.68432230655196,0.06,51.0,1.0,1.0,160.63380577078317,258.72474004881514,-0.284
146.16205864434843,0.06,51.0,1.0,1.0,160.63380577078317,258.72474974517894,-0.284
158.61792242254668,0.06,51.0,1.0,1.0,160.63380577078317,258.7247533721143,-0.284
172.13526921418944,0.06,51.0,1.0,1.0,160.63380577078317,258.7247546175571,-0.284
186.80455811612384,0.06,51.0,1.0,1.0,160.63380577078317,258.7247550070335,-0.284
202.723957108052,0.06,51.0,1.0,1.0,160.63380577078317,258.7247551170027,-0.284
220.0,0.06,51.0,1.0,1.0,160.63380577078317,258.7247551447793,-0.284
4.0,0.08,51.0,1.0,1.0,160.63380577078317,228.7694658817522,-0.284
4.340878170264604,0.08,51.0,1.0,1.0,160.63380577078317,228.77870246759352,-0.284
4.710805822269944,0.08,51.0,1.0,1.0,160.63380577078317,228.7978357235745,-0.284
5.11225853956175,0.08,51.0,1.0,1.0,160.63380577078317,228.83133561075908,-0.284
5.547922873783102,0.08,51.0,1.0,1.0,160.63380577078317,224.31907133106444,-0.284
6.020714323279183,0.08,51.0,1.0,1.0,160.63380577078317,236.016353580076,-0.284
6.533796843830508,0.08,51.0,1.0,1.0,160.63380577078317,239.22181934220893,-0.284
7.090604022081906,0.08,51.0,1.0,1.0,160.63380577078317,241.17199648227609,-0.284
7.694862053361437,0.08,51.0,1.0,1.0,160.63380577078317,242.54081943114633,-0.284
8.350614677658532,0.08,51.0,1.0,1.0,160.63380577078317,243.60871714689557,-0.284
9.062250240634778,0.08,51.0,1.0,1.0,160.63380577078317,244.5473880631806,-0.284
9.834531060761668,0.08,51.0,1.0,1.0,160.63380577078317,245.55953833284693,-0.284
10.672625299112381,0.08,51.0,1.0,1.0,160.63380577078317,246.84508504012743,-0.284
11.582141545082669,0.08,51.0,1.0,1.0,160.63380577078317,248.51822765815507,-0.284
12.569166349491027,0.08,51.0,1.0,1.0,160.63380577078317,250.4334146262181,-0.284
13.640304956232512,0.08,51.0,1.0,1.0,160.63380577078317,252.25810044954687,-0.284
14.80272550506545,0.08,51.0,1.0,1.0,160.63380577078317,253.77856896635404,-0.284
16.064207001339426,0.08,51.0,1.0,1.0,160.63380577078317,254.97296736227725,-0.284
17.43319137368153,0.08,51.0,1.0,1.0,160.63380577078317,255.8976448504963,-0.284
18.918839968014844,0.08,51.0,1.0,1.0,160.63380577078317,256.61252229441027,-0.284
