MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.19,1.0,50.955340624674456,0.9991243259740089,0.9871482768320433,200.0000524130569,512.8331627957593,-0.19
-0.18,1.0,50.95597092789613,0.9991366848607085,0.9873244550663601,200.01977976633472,512.7185814263154,-0.18
-0.17,1.0,50.95660187830242,0.9991490564373023,0.9875006353149138,200.03862332183465,512.6121834306603,-0.17
-0.16,1.0,50.957233473324884,0.999161440653429,0.9876768175910051,200.0700777083041,512.5358563229574,-0.16
-0.15,1.0,50.97525022666057,0.9995147103266778,0.9926319096061506,201.0402014444107,511.18497853961543,-0.15
-0.14,1.0,50.99429600092204,0.9998881568808243,0.998987197340295,202.8047355475995,517.9649447100232,-0.14
-0.13,1.0,50.994990752106766,0.9999017794530738,0.99901889832899,204.1018429716915,513.4494522249339,-0.13
-0.12,1.0,50.99421391552037,0.9998865473631445,0.9990230827975817,205.5253873325597,514.0994056511761,-0.12
-0.11,1.0,50.994243231233035,0.9998871221810399,0.9990271430783856,206.87607310002196,495.3809452890284,-0.11
-0.1,1.0,50.99427169605714,0.9998876803148459,0.9990310846129289,208.79725653543193,506.81551356190556,-0.1
-0.09,1.0,50.993587626048246,0.9998742671774166,0.9990349125297446,209.6511533169121,502.43757256154043,-0.09
-0.08,1.0,50.99361601448665,0.9998748238134637,0.9990386316665322,211.5154198241305,495.17340569235586,-0.08
-0.07,1.0,50.99364361209814,0.9998753649431008,0.999042246590467,212.68002958477896,503.50140730933236,-0.07
-0.06,1.0,50.993670451466116,0.9998758912052179,0.9990457616168288,214.12956474143738,505.29105921088814,-0.06
-0.05,1.0,50.99307523920547,0.9998642203765777,0.9990491808261183,215.46554077864332,515.0862884530148,-0.05
-0.04,1.0,50.99310169656316,0.9998647391482972,0.9990525080797922,216.8471524795602,500.38992515448746,-0.04
-0.03,1.0,50.99312745491931,0.9998652442141042,0.9990557470347562,218.46117326570106,499.09735989315374,-0.03
-0.02,1.0,50.99261329169222,0.9998551625822004,0.999058901156718,219.93902976875188,510.8945444927545,-0.02
-0.01,1.0,50.99263845883442,0.9998556560555769,0.9990619737325143,222.12288880791235,493.4815153266167,-0.01
0.0,1.0,50.99219866228397,0.9998470325938033,0.9990649678814911,222.76762181682335,498.022667230001,0.0
-1.0,1.01,50.954970672239526,0.9991170720046966,0.9825208968603356,194.00064952523485,532.7218883104383,-1.0
-0.99,1.01,50.95550978171758,0.9991276427787761,0.9826971060841811,194.1173922714491,532.9682523502182,-0.99
-0.98,1.01,50.95604889478486,0.9991382136232325,0.9828733157406994,194.23674620335825,533.2025167539663,-0.98
-0.97,1.01,50.95658801149635,0.9991487845391441,0.9830495258595727,194.36095609962337,533.4250211877217,-0.97
-0.96,1.01,50.957127131907114,0.9991593555275905,0.983225736470434,194.484946041647,533.636113345786,-0.96
-0.95,1.01,50.9576662560723,0.999169926589653,0.9834019476028464,194.60880221115713,533.8361465150499,-0.95
-0.94,1.01,50.95820538404712,0.9991804977264142,0.9835781592862887,194.732532005618,534.0254772023955,-0.94
-0.93,1.01,50.958744515886806,0.999191068938957,0.9837543715501339,194.85612739863151,534.2044628400105,-0.93
-0.92,1.01,50.95928365164659,0.9992016402283644,0.9839305844236337,194.97957699637237,534.3734595852685,-0.92
-0.91,1.01,50.9598227913817,0.9992122115957196,0.9841067979358982,195.10286982654313,534.5328202330553,-0.91
-0.9,1.01,50.96036193514733,0.9992227830421045,0.9842830121158807,195.22599669941187,534.6828922590996,-0.9
-0.89,1.01,50.960901082998646,0.9992333545686009,0.9844592269923573,195.3478281091371,534.824016012293,-0.89
-0.88,1.01,50.961440234990704,0.9992439261762883,0.9846354425939143,195.46684003380142,534.9565230728936,-0.88
-0.87,1.01,50.96197939117846,0.9992544978662443,0.984811658948926,195.57852297289654,535.0807347911901,-0.87
-0.86,1.01,50.96251855161678,0.9992650696395448,0.9849878760855438,195.68379890843644,535.1969610186111,-0.86
-0.85,1.01,50.96305771636037,0.9992756414972621,0.985164094031676,195.81096645606667,535.3054990392926,-0.85
-0.84,1.01,50.96359688546379,0.9992862134404664,0.9853403128149751,195.9383420645351,535.4066327062072,-0.84
-0.83,1.01,50.964136058981396,0.9992967854702235,0.9855165324628243,196.06585024369704,535.5006317817897,-0.83
-0.82,1.01,50.96467523696739,0.9993073575875958,0.9856927530023194,196.19345649760754,535.5877514781971,-0.82
-0.81,1.01,50.965214419475714,0.9993179297936414,0.9858689744602599,196.32114092222562,535.668232188963,-0.81
-0.8,1.01,50.96575360656009,0.9993285020894136,0.9860451968631351,196.4538429872651,535.1099079269508,-0.8
-0.79,1.01,50.966292798274004,0.9993390744759608,0.9862214202371109,196.58850144622335,534.1214072477202,-0.79
-0.78,1.01,50.96683199467064,0.9993496469543263,0.9863976446080227,196.72193376899423,533.0876510409906,-0.78
-0.77,1.01,50.967371195802926,0.9993602195255475,0.9865738700013615,196.8544058564382,532.0172934790221,-0.77
-0.76,1.01,50.96791040172346,0.999370792190656,0.9867500964422686,196.98617780398905,530.9186315596797,-0.76
-0.75,1.01,50.96844961248455,0.9993813649506774,0.9869263239555266,197.11747811412627,529.7995363187015,-0.75
-0.74,1.01,50.96898882813816,0.9993919378066306,0.9871025525655527,197.24846180806085,528.6673922012316,-0.74
-0.73,1.01,50.96952804873592,0.9994025107595278,0.9872787822963928,197.37737248843428,528.4469794034761,-0.73
-0.72,1.01,50.9700672743291,0.9994130838103744,0.9874550131717189,197.49228387038042,528.5275915788645,-0.72
-0.71,1.01,50.97060650496862,0.9994236569601691,0.9876312452148236,197.57492062249796,528.6000450479842,-0.71
-0.7,1.01,50.97114574070501,0.9994342302099022,0.9878074784486202,197.64722719261445,528.6648247686265,-0.7
