MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.33,4.0,51.0,1.0,1.0,160.4181231540209,253.17903819058807,-0.33
-0.32,4.0,51.0,1.0,1.0,160.5033122633256,253.17204653018382,-0.32
-0.31,4.0,51.0,1.0,1.0,160.58937433884392,253.16436781761342,-0.31
-0.3,4.0,51.0,1.0,1.0,160.63380577078317,253.15581721621993,-0.3
-0.29,4.0,51.0,1.0,1.0,160.6338057707831,253.14610329009628,-0.29
-0.28,4.0,51.0,1.0,1.0,160.63380577078317,253.13482658480467,-0.28
-0.27,4.0,51.0,1.0,1.0,160.63380577078314,253.12144069403365,-0.27
-0.26,4.0,51.0,1.0,1.0,160.6338057707832,253.10519790452307,-0.26
-0.25,4.0,51.0,1.0,1.0,160.63380577078317,253.08507320661144,-0.25
-0.24,4.0,51.0,1.0,1.0,160.6338057707832,253.06105978090542,-0.24
-0.23,4.0,51.0,1.0,1.0,160.63380577078314,253.02312193831844,-0.23
-0.22,4.0,51.0,1.0,1.0,160.6338057707832,252.9640245873593,-0.22
-0.21,4.0,51.0,1.0,1.0,160.6338057707832,252.88537104709923,-0.21
-0.2,4.0,51.0,1.0,1.0,160.63380577078317,252.7797413591603,-0.2
-0.19,4.0,51.0,1.0,1.0,160.63380577078323,252.6357681356498,-0.19
-0.18,4.0,51.0,1.0,1.0,160.63380577078317,252.43520784873658,-0.18
-0.17,4.0,51.0,1.0,1.0,160.63380577078317,252.14617023333807,-0.17
-0.16,4.0,51.0,1.0,1.0,160.6338057707832,251.70444579409212,-0.16
-0.15,4.0,51.0,1.0,1.0,160.6338057707832,250.68192205741585,-0.15
-0.14,4.0,51.0,1.0,1.0,160.63380577078308,247.9736682216543,-0.14
-0.13,4.0,51.0,1.0,1.0,160.63380577078314,249.00450572364966,-0.13
-0.12,4.0,51.0,1.0,1.0,160.63380577078325,249.54246229164426,-0.12
-0.11,4.0,51.0,1.0,1.0,160.6338057707832,250.07431754841525,-0.11
-0.1,4.0,51.0,1.0,1.0,160.6338057707831,250.60755639184129,-0.1
-0.09,4.0,51.0,1.0,1.0,160.6338057707831,251.14301316146742,-0.09
-0.08,4.0,51.0,1.0,1.0,160.63380577078317,251.68088715670766,-0.08
-0.07,4.0,51.0,1.0,1.0,160.63380577078323,252.2212529384864,-0.07
-0.06,4.0,51.0,1.0,1.0,160.63380577078317,252.7641496946143,-0.06
-0.05,4.0,51.0,1.0,1.0,160.63380577078314,252.80390166772986,-0.05
-0.04,4.0,51.0,1.0,1.0,160.6338057707831,252.8039016677298,-0.04
-0.03,4.0,51.0,1.0,1.0,160.6338057707832,252.80390166773003,-0.03
-0.02,4.0,51.0,1.0,1.0,160.6338057707832,252.80390166772992,-0.02
-0.01,4.0,51.0,1.0,1.0,160.6338057707832,252.80390166772992,-0.01
0.0,4.0,51.0,1.0,1.0,160.63380577078317,252.80390166772992,0.0
-1.0,4.340878170264604,50.514854178931024,0.9904873368417848,0.8322193363904891,154.6179580199556,289.868168191807,-1.0
-0.99,4.340878170264604,50.532308015605366,0.9908295689334385,0.8380061695711624,154.70208320923146,289.9601188562789,-0.99
-0.98,4.340878170264604,50.54975527808678,0.9911716721193485,0.8437930027518356,154.7918340839539,290.0436167273793,-0.98
-0.97,4.340878170264604,50.567196499275056,0.9915136568485305,0.8495798359325089,154.88199892276617,290.11804806290075,-0.97
-0.96,4.340878170264604,50.58463228133486,0.9918555349281345,0.8553666691131823,154.97259632588936,290.1833995075921,-0.96
-0.95,4.340878170264604,50.60206328976582,0.992197319407173,0.8611535022938555,155.06364740035957,290.24006430414795,-0.95
-0.94,4.340878170264604,50.61949024372669,0.9925390243867978,0.8669403354745288,155.14932005492557,290.2886876992024,-0.94
-0.93,4.340878170264604,50.63691390238141,0.9928806647525766,0.8727271686552021,155.2413526663534,290.3274308317394,-0.93
-0.92,4.340878170264604,50.65420583970232,0.9932197223471043,0.8785140018358751,155.32732763253927,289.82861140796683,-0.92
-0.91,4.340878170264604,50.67145166704008,0.9935578758243153,0.8843008350165485,155.41153647017933,288.9955442812739,-0.91
-0.9,4.340878170264604,50.68868494193228,0.9938957831751427,0.8900876681972218,155.49590471987455,288.1621489518746,-0.9
-0.89,4.340878170264604,50.705905664822396,0.9942334444082823,0.895874501377895,155.5803876532397,287.3255679397009,-0.89
-0.88,4.340878170264604,50.72311383454,0.9945708595007844,0.9016613345585685,155.6585827659988,286.48700903083676,-0.88
-0.87,4.340878170264604,50.740309448023204,0.9949080283926118,0.9074481677392415,155.74340551990196,285.6479564076183,-0.87
-0.86,4.340878170264604,50.75749250002538,0.9952449509808897,0.9132350009199148,155.82837902018744,284.80833092592286,-0.86
-0.85,4.340878170264604,50.77466298280578,0.9955816271138388,0.919021834100588,155.91350119067783,283.9680424499451,-0.85
-0.84,4.340878170264604,50.791820885804384,0.9959180565843997,0.9248086672812615,155.9987699976073,283.1269885107867,-0.84
-0.83,4.340878170264604,50.80896619530185,0.9962542391235657,0.9305955004619346,156.07698457012893,282.28505278925206,-0.83
-0.82,4.340878170264604,50.82609889406625,0.9965901743934559,0.936382333642608,156.16252818410854,281.4421033986419,-0.82
-0.81,4.340878170264604,50.8432189609894,0.9969258619801843,0.9421691668232811,156.24821272446485,280.5979909403225,-0.81
-0.8,4.340878170264604,50.86032637071686,0.9972613013866052,0.9479560000039545,156.33403630122143,279.75254630188067,-0.8
-0.79,4.340878170264604,50.87742109327711,0.9975964920250413,0.953742833184628,156.41999705736566,278.9055781650764,-0.79
-0.78,4.340878170264604,50.894503093717674,0.9979314332101504,0.9595296663653011,156.50609316816661,278.05687018915745,-0.78
-0.77,4.340878170264604,50.911572331758066,0.9982661241521189,0.9653164995459741,156.58446202353585,277.20617783531566,-0.77
-0.76,4.340878170264604,50.92862876147246,0.9986005639504404,0.9711033327266476,156.67080790732757,276.35322480167207,-0.76
-0.75,4.340878170264604,50.945672331018585,0.9989347515885997,0.9768901659073207,156.75728412098047,275.49769904752736,-0.75
-0.74,4.340878170264604,50.96270298243322,0.9992686859300631,0.9826769990879943,156.84388897905038,274.63924840446765,-0.74
-0.73,4.340878170264604,50.97972065151994,0.9996023657160773,0.9884638322686674,156.93062083752105,273.77747580600817,-0.73
-0.72,4.340878170264604,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01747809850286,272.91193422563646,-0.72
-0.71,4.340878170264604,51.0,1.0,1.0,157.09602852997452,272.04212150880926,-0.71
-0.7,4.340878170264604,51.0,1.0,1.0,157.1831121897686,271.1674754378245,-0.7
-0.69,4.340878170264604,51.0,1.0,1.0,157.27031733313038,270.2873696095189,-0.69
-0.68,4.340878170264604,51.0,1.0,1.0,157.3576426519067,269.4011110783405,-0.68
-0.67,4.340878170264604,51.0,1.0,1.0,157.44508693676664,268.5079412845101,-0.67
-0.66,4.340878170264604,51.0,1.0,1.0,157.5326490939381,267.6070426366113,-0.66
-0.65,4.340878170264604,51.0,1.0,1.0,157.62027958469525,266.6975543673744,-0.65
-0.64,4.340878170264604,51.0,1.0,1.0,157.69934869749574,265.77860307642607,-0.64
-0.63,4.340878170264604,51.0,1.0,1.0,157.78723641774414,264.8493558720092,-0.63
-0.62,4.340878170264604,51.0,1.0,1.0,157.87524053145623,263.9091073415153,-0.62
-0.61,4.340878170264604,51.0,1.0,1.0,157.9633608946805,262.9574156714901,-0.61
-0.6,4.340878170264604,51.0,1.0,1.0,158.05159762341248,261.9943030727885,-0.6
-0.59,4.340878170264604,51.0,1.0,1.0,158.13995112528053,261.02051186037414,-0.59
-0.58,4.340878170264604,51.0,1.0,1.0,158.2283546661678,260.03633730828926,-0.58
-0.57,4.340878170264604,51.0,1.0,1.0,158.30853150187372,259.04596004513377,-0.57
-0.56,4.340878170264604,51.0,1.0,1.0,158.39721996376372,258.0560063597866,-0.56
-0.55,4.340878170264604,51.0,1.0,1.0,158.48603173279176,257.0755537141627,-0.55
-0.54,4.340878170264604,51.0,1.0,1.0,158.57496852276185,256.1174227711218,-0.54
-0.53,4.340878170264604,51.0,1.0,1.0,158.66403234857265,255.19846711975003,-0.53
-0.52,4.340878170264604,51.0,1.0,1.0,158.753225527506,254.33916914203542,-0.52
-0.51,4.340878170264604,51.0,1.0,1.0,158.8425506802689,253.56221099649596,-0.51
-0.5,4.340878170264604,51.0,1.0,1.0,158.9255311420462,252.8898367799366,-0.5
-0.49,4.340878170264604,51.0,1.0,1.0,159.01506143367365,252.34027329164792,-0.49
-0.48,4.340878170264604,51.0,1.0,1.0,159.10471297667902,251.92396699663144,-0.48
-0.47,4.340878170264604,51.0,1.0,1.0,159.19448355041314,251.64055841751582,-0.47
-0.46,4.340878170264604,51.0,1.0,1.0,159.28437051735403,251.47827217701774,-0.46
-0.45,4.340878170264604,51.0,1.0,1.0,159.3743709986125,251.4162068869884,-0.45
-0.44,4.340878170264604,51.0,1.0,1.0,159.46448222927157,251.42881983323628,-0.44
-0.43,4.340878170264604,51.0,1.0,1.0,159.55466655469363,251.49076566861638,-0.43
-0.42,4.340878170264604,51.0,1.0,1.0,159.6422911844179,251.58030686222088,-0.42
-0.41,4.340878170264604,51.0,1.0,1.0,159.73136571412525,251.681280266289,-0.41
-0.4,4.340878170264604,51.0,1.0,1.0,159.8203893273006,251.78269483349752,-0.4
