MagCAPShock,IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.93,0.01,51.0,1.0,1.0,195.24635697244446,550.4122874596857,-0.93
-0.92,0.01,51.0,1.0,1.0,195.47253525479363,552.5186445040473,-0.92
-0.91,0.01,51.0,1.0,1.0,195.67630601448104,554.514764452173,-0.91
-0.9,0.01,51.0,1.0,1.0,195.69701005727367,556.4888544616975,-0.9
-0.89,0.01,51.0,1.0,1.0,195.71785589188096,555.6799831073656,-0.89
-0.88,0.01,51.0,1.0,1.0,195.75484163822944,554.7172399687157,-0.88
-0.87,0.01,51.0,1.0,1.0,195.8341012944791,553.7539616345344,-0.87
-0.86,0.01,51.0,1.0,1.0,195.88729019743772,552.7902682924773,-0.86
-0.85,0.01,51.0,1.0,1.0,195.87236314360572,551.8250109149781,-0.85
-0.84,0.01,51.0,1.0,1.0,195.8517230913717,550.8379362682282,-0.84
-0.83,0.01,51.0,1.0,1.0,195.8276334344467,549.8406405798901,-0.83
-0.82,0.01,51.0,1.0,1.0,195.7973440822738,548.8283934563153,-0.82
-0.81,0.01,51.0,1.0,1.0,195.75985683676555,547.7942852968231,-0.81
-0.8,0.01,51.0,1.0,1.0,195.7373976526301,546.7287851266167,-0.8
-0.79,0.01,51.0,1.0,1.0,195.8728198810887,545.619403235207,-0.79
-0.78,0.01,51.0,1.0,1.0,195.9943242693777,544.453643237402,-0.78
-0.77,0.01,51.0,1.0,1.0,196.10861877648196,543.2232303605002,-0.77
-0.76,0.01,51.0,1.0,1.0,196.21516871286997,541.935274389911,-0.76
-0.75,0.01,51.0,1.0,1.0,196.31401440978377,540.6314155389656,-0.75
-0.74,0.01,51.0,1.0,1.0,196.4167099847964,539.4124297227147,-0.74
-0.73,0.01,51.0,1.0,1.0,196.5195165976515,538.4534611715401,-0.73
-0.72,0.01,51.0,1.0,1.0,196.6099483753936,537.9814679212437,-0.72
-0.71,0.01,51.0,1.0,1.0,196.70024294968442,538.1984765284272,-0.71
-0.7,0.01,51.0,1.0,1.0,196.80057562942295,539.1819377797455,-0.7
-0.69,0.01,51.0,1.0,1.0,196.84211967185058,535.3616013431822,-0.69
-0.68,0.01,51.0,1.0,1.0,196.96848786567605,530.8690405246643,-0.68
-0.67,0.01,51.0,1.0,1.0,197.14422050428587,526.3287648089077,-0.67
-0.66,0.01,51.0,1.0,1.0,197.27904874552002,521.6838050518281,-0.66
-0.65,0.01,51.0,1.0,1.0,197.2244471948933,516.7030823195714,-0.65
-0.64,0.01,51.0,1.0,1.0,197.20572717443596,511.43707115534966,-0.64
-0.63,0.01,51.0,1.0,1.0,197.21114927343424,505.3196497073765,-0.63
-0.62,0.01,51.0,1.0,1.0,197.2375220954513,497.963691089753,-0.62
-0.61,0.01,51.0,1.0,1.0,197.40322895822712,494.72166619386013,-0.61
-0.6,0.01,51.0,1.0,1.0,197.5645675773961,501.35358562388035,-0.6
-0.59,0.01,51.0,1.0,1.0,197.65847468865485,509.1997433654665,-0.59
-0.58,0.01,51.0,1.0,1.0,197.5281875615819,515.28514050716,-0.58
-0.57,0.01,51.0,1.0,1.0,197.73975279551814,520.4428894665556,-0.57
-0.56,0.01,51.0,1.0,1.0,197.69478276568267,525.1277857675146,-0.56
-0.55,0.01,51.0,1.0,1.0,197.73436327284477,529.5193334975685,-0.55
-0.54,0.01,51.0,1.0,1.0,197.85592719892247,533.615979868401,-0.54
-0.53,0.01,51.0,1.0,1.0,198.04204476884834,537.3405461562936,-0.53
-0.52,0.01,51.0,1.0,1.0,198.14381144474515,540.6070080523449,-0.52
-0.51,0.01,51.0,1.0,1.0,198.335221431984,543.3497459115805,-0.51
-0.5,0.01,51.0,1.0,1.0,198.3634051420802,545.5574033921429,-0.5
-0.49,0.01,51.0,1.0,1.0,198.32277817476046,547.6617463573879,-0.49
-0.48,0.01,51.0,1.0,1.0,198.30855770524278,550.5176794914624,-0.48
-0.47,0.01,51.0,1.0,1.0,198.30160822587692,552.65711662072,-0.47
-0.46,0.01,51.0,1.0,1.0,198.31603283031566,554.224150316914,-0.46
-0.45,0.01,51.0,1.0,1.0,198.31927038529508,555.6174942187095,-0.45
-0.44,0.01,51.0,1.0,1.0,198.3404844356897,555.5690434384113,-0.44
-0.43,0.01,51.0,1.0,1.0,198.40159564600205,554.2886373875448,-0.43
-0.42,0.01,51.0,1.0,1.0,198.4585338050104,552.7228860088358,-0.42
-0.41,0.01,51.0,1.0,1.0,198.52297122676578,550.8856089681266,-0.41
-0.4,0.01,51.0,1.0,1.0,198.6098319971489,548.7932439303962,-0.4
-0.39,0.01,51.0,1.0,1.0,198.68394217717693,547.4010290073412,-0.39
-0.38,0.01,51.0,1.0,1.0,198.76671668732854,546.2874445888186,-0.38
-0.37,0.01,51.0,1.0,1.0,198.86376664541984,545.0500874596574,-0.37
