MagCAPShock,IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.22,4.340878170264604,51.0,1.0,1.0,333.4856696432249,395.086158007464,-0.22
-0.21,4.340878170264604,51.0,1.0,1.0,333.4856696432249,394.7500465032574,-0.21
-0.2,4.340878170264604,51.0,1.0,1.0,333.4856696432248,394.11240822471746,-0.2
-0.19,4.340878170264604,51.0,1.0,1.0,333.48566964322475,392.62380532085285,-0.19
-0.18,4.340878170264604,51.0,1.0,1.0,333.48566964322464,387.92652195867464,-0.18
-0.17,4.340878170264604,51.0,1.0,1.0,333.4856696432249,389.14302797987204,-0.17
-0.16,4.340878170264604,51.0,1.0,1.0,333.48566964322487,390.3322734487242,-0.16
-0.15,4.340878170264604,51.0,1.0,1.0,333.48566964322475,390.9658998643527,-0.15
-0.14,4.340878170264604,51.0,1.0,1.0,333.485669643225,391.2392345679496,-0.14
-0.13,4.340878170264604,51.0,1.0,1.0,333.4856696432248,391.5126048683397,-0.13
-0.12,4.340878170264604,51.0,1.0,1.0,333.485669643225,391.7860089907267,-0.12
-0.11,4.340878170264604,51.0,1.0,1.0,333.48566964322487,392.05944530429775,-0.11
-0.1,4.340878170264604,51.0,1.0,1.0,333.48566964322475,392.3329123282874,-0.1
-0.09,4.340878170264604,51.0,1.0,1.0,333.48566964322464,392.6064087228982,-0.09
-0.08,4.340878170264604,51.0,1.0,1.0,333.4856696432249,392.8799332751913,-0.08
-0.07,4.340878170264604,51.0,1.0,1.0,333.48566964322464,393.1534848842746,-0.07
-0.06,4.340878170264604,51.0,1.0,1.0,333.48566964322475,393.4270625475267,-0.06
-0.05,4.340878170264604,51.0,1.0,1.0,333.48566964322487,393.47282541435123,-0.05
-0.04,4.340878170264604,51.0,1.0,1.0,333.485669643225,393.47282541435123,-0.04
-0.03,4.340878170264604,51.0,1.0,1.0,333.48566964322487,393.47282541435135,-0.03
-0.02,4.340878170264604,51.0,1.0,1.0,333.48566964322487,393.47282541435123,-0.02
-0.01,4.340878170264604,51.0,1.0,1.0,333.4856696432248,393.4728254143513,-0.01
0.0,4.340878170264604,51.0,1.0,1.0,333.48566964322487,393.4728254143513,0.0
-1.0,4.710805822269944,49.655118395835586,0.9736297724673645,0.5770257776008105,141.54485492653896,491.5375481024993,-1.0
-0.99,4.710805822269944,49.69772062783403,0.9744651103496869,0.5878013239232502,156.0744874778534,489.5023821961174,-0.99
-0.98,4.710805822269944,49.74027597447439,0.9752995289112626,0.5985768702456901,150.4640735521894,488.8496867266132,-0.98
-0.97,4.710805822269944,49.782790340188306,0.976133143925261,0.6093524165681298,144.1214529085915,488.74775427739513,-0.97
-0.96,4.710805822269944,49.82526618842988,0.9769660036947035,0.6201279628905696,161.62265217670935,487.21154158861145,-0.96
-0.95,4.710805822269944,49.86770257058279,0.9777980896192705,0.6309035092130094,169.13212792125702,485.72981635972735,-0.95
-0.94,4.710805822269944,49.91009639728391,0.9786293411232139,0.6416790555354492,193.38340275706403,483.9359155983258,-0.94
-0.93,4.710805822269944,49.95244405768047,0.9794596874054994,0.6524546018578891,174.61892220290116,482.0089040496736,-0.93
-0.92,4.710805822269944,49.9947427334492,0.9802890732048862,0.6632301481803288,190.2178576681056,479.8548375404864,-0.92
-0.91,4.710805822269944,50.036991247411706,0.9811174754394452,0.6740056945027683,188.10999305837677,476.9170739234396,-0.91
-0.9,4.710805822269944,50.07919047208959,0.981944911217443,0.6847812408252083,197.85467346154996,474.8485707182127,-0.9
-0.89,4.710805822269944,50.11880322220554,0.9827216318079518,0.6955567871476477,220.09786575044194,471.9523428157693,-0.89
-0.88,4.710805822269944,50.15123601236705,0.9833575688699422,0.7063323334700877,222.34134642850572,468.8282038042738,-0.88
-0.87,4.710805822269944,50.18364517039308,0.983993042556727,0.7171078797925272,234.33875358665645,465.56410626051064,-0.87
-0.86,4.710805822269944,50.2160343983943,0.9846281254587117,0.7278834261149674,225.2137821820366,462.36850140144315,-0.86
-0.85,4.710805822269944,50.2484078519089,0.9852628990570372,0.7386589724374069,230.33020896636236,459.4597794884241,-0.85
-0.84,4.710805822269944,50.28076934380695,0.9858974381138618,0.7494345187598469,236.0141446128236,456.9409244720776,-0.84
-0.83,4.710805822269944,50.31312161418329,0.9865317963565351,0.7602100650822865,241.2868558815971,454.81058773856677,-0.83
-0.82,4.710805822269944,50.34546597919869,0.9871659995921312,0.7709856114047264,248.16297808887856,453.11272624119283,-0.82
-0.81,4.710805822269944,50.377802449344,0.987800048026353,0.781761157727166,254.68823401107736,451.9947035642365,-0.81
-0.8,4.710805822269944,50.41013016684785,0.9884339248401539,0.7925367040496057,263.9591417627762,451.5981242500207,-0.8
-0.79,4.710805822269944,50.442447924563666,0.9890676063639935,0.8033122503720457,272.15865655523453,451.8376266374143,-0.79
-0.78,4.710805822269944,50.47475459435199,0.98970107047749,0.8140877966944855,276.41862928865487,452.408128987228,-0.78
-0.77,4.710805822269944,50.507049406095135,0.9903343020802967,0.8248633430169251,283.77878297625,453.02842664635523,-0.77
-0.76,4.710805822269944,50.53933209703214,0.990967296020238,0.835638889339365,286.5418188061102,453.5658658101603,-0.76
-0.75,4.710805822269944,50.57160297804919,0.9916000583931214,0.8464144356618047,288.6012031500735,453.99368488028415,-0.75
-0.74,4.710805822269944,50.603862957391506,0.9922326070076766,0.8571899819842447,291.155029974618,454.32806525201636,-0.74
-0.73,4.710805822269944,50.63570567731656,0.9928569740650306,0.867965528306684,292.1222211165811,453.22558448276675,-0.73
-0.72,4.710805822269944,50.66720632615559,0.9934746338461881,0.878741074629124,292.8856296304352,450.8298510742629,-0.72
-0.71,4.710805822269944,50.698669785569535,0.9940915644229321,0.8895166209515638,294.4575999521618,448.3944225926369,-0.71
-0.7,4.710805822269944,50.73009687871321,0.9947077819355532,0.9002921672740035,299.15015114098804,445.9120925474991,-0.7
-0.69,4.710805822269944,50.761488626948065,0.9953233064107464,0.9110677135964433,316.52593089585923,443.3745916935289,-0.69
-0.68,4.710805822269944,50.792846249451344,0.9959381617539479,0.9218432599188828,325.57320804904765,440.7731976691094,-0.68
-0.67,4.710805822269944,50.82417116964696,0.9965523758754306,0.9326188062413228,325.8534347860792,438.0997984490258,-0.67
