MagCAPShock,Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.1,3.0,51.0,1.0,1.0,209.22984277384262,529.3466123705115,-0.1
-0.09,3.0,51.0,1.0,1.0,210.50151643129126,547.0680253934206,-0.09
-0.08,3.0,51.0,1.0,1.0,211.2213142852487,546.0979561906763,-0.08
-0.07,3.0,51.0,1.0,1.0,212.60566321202353,569.1006928423799,-0.07
-0.06,3.0,51.0,1.0,1.0,213.90352403248446,524.4619695393387,-0.06
-0.05,3.0,51.0,1.0,1.0,214.87992440199247,583.3019559640445,-0.05
-0.04,3.0,51.0,1.0,1.0,217.7888442481749,530.9940267929638,-0.04
-0.03,3.0,51.0,1.0,1.0,218.374440157407,521.9535165862618,-0.03
-0.02,3.0,51.0,1.0,1.0,219.87107955579455,574.3741307986569,-0.02
-0.01,3.0,51.0,1.0,1.0,221.86331780813669,554.5762262270831,-0.01
0.0,3.0,51.0,1.0,1.0,222.61323296779105,517.935220407693,0.0
-1.0,4.0,51.0,1.0,1.0,152.980558064904,568.280274961434,-1.0
-0.99,4.0,51.0,1.0,1.0,152.94550567174417,568.0260593925832,-0.99
-0.98,4.0,51.0,1.0,1.0,152.91010154049894,567.7710063014474,-0.98
-0.97,4.0,51.0,1.0,1.0,152.87433896026218,567.5151435670829,-0.97
-0.96,4.0,51.0,1.0,1.0,152.83821158589146,567.2584983568944,-0.96
-0.95,4.0,51.0,1.0,1.0,152.8017134989465,567.0010973224155,-0.95
-0.94,4.0,51.0,1.0,1.0,152.76483927324773,566.7429668057902,-0.94
-0.93,4.0,51.0,1.0,1.0,152.7275840453291,566.4841330573333,-0.93
-0.92,4.0,51.0,1.0,1.0,152.6899435899884,566.2246224645313,-0.92
-0.91,4.0,51.0,1.0,1.0,152.65191440119762,565.9644617930863,-0.91
-0.9,4.0,51.0,1.0,1.0,152.61349377855188,565.7036784405378,-0.9
-0.89,4.0,51.0,1.0,1.0,152.5746799194679,565.4423007031786,-0.89
-0.88,4.0,51.0,1.0,1.0,152.5354720172981,565.1803580569775,-0.88
-0.87,4.0,51.0,1.0,1.0,152.49587036551773,564.9178814533083,-0.87
-0.86,4.0,51.0,1.0,1.0,152.4558764681932,564.6549036304414,-0.86
-0.85,4.0,51.0,1.0,1.0,152.41549315686729,564.3914594416854,-0.85
-0.84,4.0,51.0,1.0,1.0,152.37472471417658,564.1275862014094,-0.84
-0.83,4.0,51.0,1.0,1.0,152.3335770045243,563.8633240502029,-0.83
-0.82,4.0,51.0,1.0,1.0,152.29205761243975,563.5987163408959,-0.82
-0.81,4.0,51.0,1.0,1.0,152.25017598948014,563.3338100474637,-0.81
-0.8,4.0,51.0,1.0,1.0,152.20794361110174,563.068656199605,-0.8
-0.79,4.0,51.0,1.0,1.0,152.48493007313695,561.8844258588035,-0.79
-0.78,4.0,51.0,1.0,1.0,152.79823620804507,560.6403065814928,-0.78
-0.77,4.0,51.0,1.0,1.0,153.11228115444234,559.3958853676942,-0.77
-0.76,4.0,51.0,1.0,1.0,153.426926078053,558.1515790002702,-0.76
-0.75,4.0,51.0,1.0,1.0,153.74202565887728,556.9078363049633,-0.75
-0.74,4.0,51.0,1.0,1.0,154.0574274053022,555.6650977584628,-0.74
