DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
2.08,51.0,1.0,1.0,199.1173730996783,554.4133456318331,-0.284
2.09,51.0,1.0,1.0,199.1404577855779,552.6860887459098,-0.284
2.1,51.0,1.0,1.0,199.13594125306597,547.2957898507998,-0.284
2.11,51.0,1.0,1.0,199.0888696248666,538.7126284461982,-0.284
2.12,51.0,1.0,1.0,199.0347341105061,531.0085231583323,-0.284
2.13,51.0,1.0,1.0,198.99330212951824,530.6169323827003,-0.284
2.14,51.0,1.0,1.0,198.9421632288626,535.5860396577256,-0.284
2.15,51.0,1.0,1.0,198.85766066469495,547.6125766767849,-0.284
2.16,51.0,1.0,1.0,198.7610616538477,560.8220988830833,-0.284
2.17,51.0,1.0,1.0,198.73273036328263,582.5172309242339,-0.284
2.18,51.0,1.0,1.0,199.03357045778708,596.1070622817458,-0.284
2.19,51.0,1.0,1.0,199.57862670609626,553.2273539607912,-0.284
2.2,51.0,1.0,1.0,199.8461849867291,534.7243371335474,-0.284
2.21,51.0,1.0,1.0,199.8661738545175,576.6485172253326,-0.284
2.22,51.0,1.0,1.0,199.86726997208618,579.025519743206,-0.284
2.23,51.0,1.0,1.0,199.72065687685472,575.4558701236315,-0.284
2.24,51.0,1.0,1.0,199.37925801093047,535.0056779814643,-0.284
2.25,51.0,1.0,1.0,199.25520007653884,546.5067920454162,-0.284
2.26,51.0,1.0,1.0,199.20413186210183,572.9447773094939,-0.284
2.27,51.0,1.0,1.0,199.2371465237889,543.4395591327524,-0.284
2.28,51.0,1.0,1.0,199.20478900343778,536.6040728876471,-0.284
2.29,51.0,1.0,1.0,199.16710402799558,566.4331899273017,-0.284
2.3,51.0,1.0,1.0,198.85914732244396,583.5641535278612,-0.284
2.31,51.0,1.0,1.0,198.44262025937223,593.5673902057086,-0.284
2.32,51.0,1.0,1.0,198.24050888093595,593.6945265607958,-0.284
2.33,51.0,1.0,1.0,198.06670784864178,593.1623179344743,-0.284
2.34,51.0,1.0,1.0,197.96891490873546,588.6457869762114,-0.284
2.35,51.0,1.0,1.0,197.85589092777556,580.4159096037698,-0.284
2.36,51.0,1.0,1.0,197.75559358876697,572.0890989019938,-0.284
2.37,51.0,1.0,1.0,197.64794033509617,563.0932539481074,-0.284
2.38,51.0,1.0,1.0,197.50814220751522,552.9953015333565,-0.284
2.39,51.0,1.0,1.0,197.34559640366692,541.5035536029535,-0.284
2.4,51.0,1.0,1.0,197.17692465939925,536.6498907929488,-0.284
2.41,51.0,1.0,1.0,197.02508054269492,545.418064818422,-0.284
2.42,51.0,1.0,1.0,196.8852148007052,553.6365356284334,-0.284
2.43,51.0,1.0,1.0,196.74324443780839,561.2091516117026,-0.284
2.44,51.0,1.0,1.0,196.6272307922055,568.8310072604487,-0.284
2.45,51.0,1.0,1.0,196.5797105911556,576.8077735000469,-0.284
2.46,51.0,1.0,1.0,196.51062327391622,584.7210226309614,-0.284
2.47,51.0,1.0,1.0,196.385723219125,589.9273479395838,-0.284
2.48,51.0,1.0,1.0,196.1677135342103,589.6798781977275,-0.284
2.49,51.0,1.0,1.0,195.94911282274975,589.4339090879249,-0.284
2.5,51.0,1.0,1.0,195.9544765151343,591.0897014520402,-0.284
